Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,11/26/2014 4:03:31 PM,Light,5/27/1980 4:03:16 PM,5/27/1980 4:03:21 PM,5,0.06,0.06,
1,2,11/26/2014 4:05:54 PM,Light,5/27/1980 4:05:40 PM,5/27/1980 4:05:43 PM,3,-0.05,0.02,
1,3,11/26/2014 4:14:46 PM,Light,5/27/1980 4:14:34 PM,5/27/1980 4:14:36 PM,2,-0.04,-0.02,
1,4,11/26/2014 4:15:14 PM,Light,5/27/1980 4:14:57 PM,5/27/1980 4:15:03 PM,6,0.06,0.04,
2,5,11/26/2014 4:25:41 PM,Light,5/27/1980 4:25:28 PM,5/27/1980 4:25:30 PM,2,0.14,0.18,
2,6,11/26/2014 4:34:58 PM,Light,5/27/1980 4:34:46 PM,5/27/1980 4:34:48 PM,2,0.05,0.23,
3,7,11/26/2014 4:54:13 PM,Light,5/27/1980 4:54:00 PM,5/27/1980 4:54:03 PM,3,-0.05,0.18,
3,8,11/26/2014 4:55:08 PM,Light,5/27/1980 4:54:53 PM,5/27/1980 4:54:57 PM,4,-0.03,0.15,
3,9,11/26/2014 5:06:24 PM,Light,5/27/1980 5:05:38 PM,5/27/1980 5:06:13 PM,35,-0.35,-0.21,
3,10,11/26/2014 5:09:01 PM,Light,5/27/1980 5:08:43 PM,5/27/1980 5:08:50 PM,7,0.21,0.00,
4,11,11/26/2014 5:24:03 PM,Light,5/27/1980 5:23:38 PM,5/27/1980 5:23:52 PM,14,0.10,0.11,
4,12,11/26/2014 5:24:18 PM,Light,5/27/1980 5:24:03 PM,5/27/1980 5:24:07 PM,4,-0.05,0.05,
4,13,11/26/2014 5:26:20 PM,Light,5/27/1980 5:26:03 PM,5/27/1980 5:26:10 PM,7,-0.04,0.01,
4,14,11/26/2014 5:27:52 PM,Light,5/27/1980 5:26:41 PM,5/27/1980 5:27:42 PM,61,0.06,0.07,
4,15,11/26/2014 5:42:02 PM,Light,5/27/1980 5:41:48 PM,5/27/1980 5:41:51 PM,3,-0.15,-0.08,
4,16,11/26/2014 5:50:06 PM,Light,5/27/1980 5:49:36 PM,5/27/1980 5:49:55 PM,19,-0.07,-0.15,
6,17,11/26/2014 6:46:52 PM,Light,5/27/1980 6:46:38 PM,5/27/1980 6:46:42 PM,4,0.05,-0.10,
7,18,11/26/2014 7:18:18 PM,Light,5/27/1980 7:18:03 PM,5/27/1980 7:18:07 PM,4,-0.06,-0.17,
7,19,11/26/2014 7:19:37 PM,Light,5/27/1980 7:19:25 PM,5/27/1980 7:19:27 PM,2,0.03,-0.13,
8,20,11/26/2014 7:35:42 PM,Dark,5/27/1980 7:35:20 PM,5/27/1980 7:35:32 PM,12,0.05,-0.08,
8,21,11/26/2014 7:40:22 PM,Dark,5/27/1980 7:39:26 PM,5/27/1980 7:40:12 PM,46,-0.03,-0.11,
8,22,11/26/2014 7:40:56 PM,Dark,5/27/1980 7:40:28 PM,5/27/1980 7:40:45 PM,17,0.05,-0.07,
8,23,11/26/2014 7:43:08 PM,Dark,5/27/1980 7:41:43 PM,5/27/1980 7:42:58 PM,75,0.05,-0.02,
8,24,11/26/2014 7:48:56 PM,Dark,5/27/1980 7:48:39 PM,5/27/1980 7:48:45 PM,6,-0.04,-0.06,
