Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,11/26/2014 3:55:08 PM,Light,5/27/1980 3:45:36 PM,5/27/1980 3:54:58 PM,562,0.14,0.14,
1,2,11/26/2014 4:06:35 PM,Light,5/27/1980 3:56:21 PM,5/27/1980 4:06:24 PM,603,-0.08,0.05,
1,3,11/26/2014 4:07:49 PM,Light,5/27/1980 4:07:00 PM,5/27/1980 4:07:38 PM,38,-0.07,-0.02,
1,4,11/26/2014 4:16:28 PM,Light,5/27/1980 4:07:50 PM,5/27/1980 4:16:18 PM,508,0.08,0.06,
2,5,11/26/2014 4:36:14 PM,Light,5/27/1980 4:26:27 PM,5/27/1980 4:36:04 PM,577,-0.12,-0.06,
2,6,11/26/2014 4:46:44 PM,Light,5/27/1980 4:36:46 PM,5/27/1980 4:46:33 PM,587,0.25,0.19,
3,7,11/26/2014 4:57:08 PM,Light,5/27/1980 4:46:59 PM,5/27/1980 4:56:58 PM,599,-0.16,0.03,
3,8,11/26/2014 5:09:55 PM,Light,5/27/1980 5:08:05 PM,5/27/1980 5:09:44 PM,99,-0.10,-0.08,
3,9,11/26/2014 5:10:52 PM,Light,5/27/1980 5:10:21 PM,5/27/1980 5:10:41 PM,20,0.09,0.02,
3,10,11/26/2014 5:14:49 PM,Light,5/27/1980 5:14:22 PM,5/27/1980 5:14:38 PM,16,-0.08,-0.06,
4,11,11/26/2014 5:22:00 PM,Light,5/27/1980 5:21:44 PM,5/27/1980 5:21:49 PM,5,-0.15,-0.21,
4,12,11/26/2014 5:23:08 PM,Light,5/27/1980 5:22:34 PM,5/27/1980 5:22:58 PM,24,0.04,-0.17,
4,13,11/26/2014 5:24:35 PM,Light,5/27/1980 5:23:51 PM,5/27/1980 5:24:24 PM,33,-0.07,-0.25,
4,14,11/26/2014 5:26:12 PM,Light,5/27/1980 5:25:20 PM,5/27/1980 5:26:02 PM,42,-0.11,-0.36,
4,15,11/26/2014 5:28:15 PM,Light,5/27/1980 5:28:01 PM,5/27/1980 5:28:04 PM,3,0.11,-0.25,
4,16,11/26/2014 5:33:44 PM,Light,5/27/1980 5:33:19 PM,5/27/1980 5:33:33 PM,14,0.08,-0.16,
4,17,11/26/2014 5:37:29 PM,Light,5/27/1980 5:37:04 PM,5/27/1980 5:37:19 PM,15,-0.04,-0.20,
4,18,11/26/2014 5:40:53 PM,Light,5/27/1980 5:38:05 PM,5/27/1980 5:40:42 PM,157,-0.05,-0.25,
4,19,11/26/2014 5:47:22 PM,Light,5/27/1980 5:47:05 PM,5/27/1980 5:47:11 PM,6,-0.05,-0.30,
4,20,11/26/2014 5:50:38 PM,Light,5/27/1980 5:50:25 PM,5/27/1980 5:50:28 PM,3,-0.07,-0.37,
4,21,11/26/2014 5:51:29 PM,Light,5/27/1980 5:50:56 PM,5/27/1980 5:51:18 PM,22,0.04,-0.32,
5,22,11/26/2014 5:53:57 PM,Light,5/27/1980 5:52:36 PM,5/27/1980 5:53:47 PM,71,-0.04,-0.36,
5,23,11/26/2014 5:56:39 PM,Light,5/27/1980 5:55:30 PM,5/27/1980 5:56:28 PM,58,0.05,-0.31,
5,24,11/26/2014 6:01:27 PM,Light,5/27/1980 6:00:36 PM,5/27/1980 6:01:16 PM,40,-0.04,-0.36,
5,25,11/26/2014 6:01:54 PM,Light,5/27/1980 6:01:36 PM,5/27/1980 6:01:43 PM,7,0.10,-0.26,
5,26,11/26/2014 6:02:16 PM,Light,5/27/1980 6:02:01 PM,5/27/1980 6:02:05 PM,4,0.05,-0.21,
5,27,11/26/2014 6:03:56 PM,Light,5/27/1980 6:03:34 PM,5/27/1980 6:03:46 PM,12,0.04,-0.17,
5,28,11/26/2014 6:06:50 PM,Light,5/27/1980 6:06:11 PM,5/27/1980 6:06:40 PM,29,0.28,0.10,
5,29,11/26/2014 6:09:12 PM,Light,5/27/1980 6:07:18 PM,5/27/1980 6:09:01 PM,103,-0.17,-0.07,
5,30,11/26/2014 6:10:34 PM,Light,5/27/1980 6:10:04 PM,5/27/1980 6:10:23 PM,19,-0.09,-0.16,
5,31,11/26/2014 6:11:59 PM,Light,5/27/1980 6:10:44 PM,5/27/1980 6:11:48 PM,64,0.09,-0.07,
5,32,11/26/2014 6:15:14 PM,Light,5/27/1980 6:12:00 PM,5/27/1980 6:15:04 PM,184,-0.08,-0.15,
5,33,11/26/2014 6:17:38 PM,Light,5/27/1980 6:17:14 PM,5/27/1980 6:17:27 PM,13,-0.10,-0.25,
5,34,11/26/2014 6:20:06 PM,Light,5/27/1980 6:19:41 PM,5/27/1980 6:19:55 PM,14,0.12,-0.13,
5,35,11/26/2014 6:20:56 PM,Light,5/27/1980 6:20:32 PM,5/27/1980 6:20:45 PM,13,0.06,-0.07,
6,36,11/26/2014 6:25:15 PM,Light,5/27/1980 6:24:41 PM,5/27/1980 6:25:04 PM,23,-0.11,-0.19,
6,37,11/26/2014 6:27:55 PM,Light,5/27/1980 6:25:15 PM,5/27/1980 6:27:44 PM,149,0.20,0.01,
6,38,11/26/2014 6:31:38 PM,Light,5/27/1980 6:28:09 PM,5/27/1980 6:31:27 PM,198,0.03,0.05,
6,39,11/26/2014 6:34:05 PM,Light,5/27/1980 6:33:00 PM,5/27/1980 6:33:54 PM,54,-0.03,0.01,
6,40,11/26/2014 6:35:04 PM,Light,5/27/1980 6:34:22 PM,5/27/1980 6:34:54 PM,32,-0.06,-0.05,
6,41,11/26/2014 6:37:09 PM,Light,5/27/1980 6:36:39 PM,5/27/1980 6:36:59 PM,20,0.13,0.08,
6,42,11/26/2014 6:38:09 PM,Light,5/27/1980 6:37:37 PM,5/27/1980 6:37:59 PM,22,0.18,0.27,
6,43,11/26/2014 6:45:05 PM,Light,5/27/1980 6:38:35 PM,5/27/1980 6:44:55 PM,380,-0.05,0.21,
6,44,11/26/2014 6:45:59 PM,Light,5/27/1980 6:45:12 PM,5/27/1980 6:45:48 PM,36,0.19,0.41,
6,45,11/26/2014 6:47:58 PM,Light,5/27/1980 6:46:15 PM,5/27/1980 6:47:48 PM,93,-0.14,0.26,
6,46,11/26/2014 6:48:41 PM,Light,5/27/1980 6:48:06 PM,5/27/1980 6:48:30 PM,24,-0.14,0.12,
6,47,11/26/2014 6:50:39 PM,Light,5/27/1980 6:49:35 PM,5/27/1980 6:50:28 PM,53,-0.11,0.02,
6,48,11/26/2014 6:51:07 PM,Light,5/27/1980 6:50:49 PM,5/27/1980 6:50:56 PM,7,0.18,0.19,
6,49,11/26/2014 6:51:46 PM,Light,5/27/1980 6:51:07 PM,5/27/1980 6:51:36 PM,29,-0.24,-0.04,
7,50,11/26/2014 7:04:49 PM,Dark,5/27/1980 6:51:47 PM,5/27/1980 7:04:38 PM,771,0.05,0.01,
7,51,11/26/2014 7:06:32 PM,Dark,5/27/1980 7:05:34 PM,5/27/1980 7:06:21 PM,47,0.15,0.16,
7,52,11/26/2014 7:09:23 PM,Dark,5/27/1980 7:08:53 PM,5/27/1980 7:09:12 PM,19,0.14,0.30,
7,53,11/26/2014 7:09:57 PM,Dark,5/27/1980 7:09:35 PM,5/27/1980 7:09:47 PM,12,0.06,0.36,
7,54,11/26/2014 7:10:35 PM,Dark,5/27/1980 7:10:00 PM,5/27/1980 7:10:25 PM,25,0.09,0.44,
7,55,11/26/2014 7:14:27 PM,Dark,5/27/1980 7:14:12 PM,5/27/1980 7:14:16 PM,4,-0.14,0.30,
7,56,11/26/2014 7:20:23 PM,Dark,5/27/1980 7:14:53 PM,5/27/1980 7:20:13 PM,320,0.12,0.42,
7,57,11/26/2014 7:23:14 PM,Dark,5/27/1980 7:21:41 PM,5/27/1980 7:23:03 PM,82,0.07,0.49,
7,58,11/26/2014 7:23:31 PM,Dark,5/27/1980 7:23:15 PM,5/27/1980 7:23:20 PM,5,-0.04,0.46,
7,59,11/26/2014 7:27:57 PM,Dark,5/27/1980 7:24:06 PM,5/27/1980 7:27:47 PM,221,-0.07,0.39,
8,60,11/26/2014 7:29:04 PM,Dark,5/27/1980 7:28:17 PM,5/27/1980 7:28:54 PM,37,-0.04,0.34,
8,61,11/26/2014 7:29:41 PM,Dark,5/27/1980 7:29:24 PM,5/27/1980 7:29:30 PM,6,-0.31,0.03,
8,62,11/26/2014 7:37:19 PM,Dark,5/27/1980 7:30:01 PM,5/27/1980 7:37:09 PM,428,0.17,0.20,
8,63,11/26/2014 7:38:36 PM,Dark,5/27/1980 7:37:33 PM,5/27/1980 7:38:25 PM,52,-0.27,-0.06,
8,64,11/26/2014 7:39:28 PM,Dark,5/27/1980 7:38:39 PM,5/27/1980 7:39:17 PM,38,0.21,0.15,
8,65,11/26/2014 7:40:24 PM,Dark,5/27/1980 7:40:00 PM,5/27/1980 7:40:14 PM,14,-0.23,-0.08,
8,66,11/26/2014 7:43:48 PM,Dark,5/27/1980 7:40:25 PM,5/27/1980 7:43:37 PM,192,0.07,-0.01,
8,67,11/26/2014 7:44:24 PM,Dark,5/27/1980 7:43:54 PM,5/27/1980 7:44:13 PM,19,0.18,0.16,
8,68,11/26/2014 7:45:59 PM,Dark,5/27/1980 7:44:31 PM,5/27/1980 7:45:49 PM,78,-0.08,0.08,
8,69,11/26/2014 7:53:02 PM,Dark,5/27/1980 7:50:55 PM,5/27/1980 7:52:51 PM,116,-0.10,-0.02,
8,70,11/26/2014 7:54:25 PM,Dark,5/27/1980 7:54:03 PM,5/27/1980 7:54:15 PM,12,-0.06,-0.08,
8,71,11/26/2014 7:55:33 PM,Dark,5/27/1980 7:54:36 PM,5/27/1980 7:55:22 PM,46,-0.06,-0.14,
8,72,11/26/2014 7:57:54 PM,Dark,5/27/1980 7:55:37 PM,5/27/1980 7:57:44 PM,127,-0.08,-0.22,
8,73,11/26/2014 7:58:38 PM,Dark,5/27/1980 7:58:06 PM,5/27/1980 7:58:26 PM,20,-0.08,-0.30,
9,74,11/26/2014 8:03:11 PM,Dark,5/27/1980 7:59:46 PM,5/27/1980 8:03:01 PM,195,0.13,-0.17,
9,75,11/26/2014 8:11:47 PM,Dark,5/27/1980 8:10:08 PM,5/27/1980 8:11:36 PM,88,-0.13,-0.29,
9,76,11/26/2014 8:14:58 PM,Dark,5/27/1980 8:14:21 PM,5/27/1980 8:14:48 PM,27,0.16,-0.13,
9,77,11/26/2014 8:19:45 PM,Dark,5/27/1980 8:15:36 PM,5/27/1980 8:19:34 PM,238,0.14,0.01,
9,78,11/26/2014 8:20:26 PM,Dark,5/27/1980 8:19:45 PM,5/27/1980 8:20:16 PM,31,-0.15,-0.14,
9,79,11/26/2014 8:25:46 PM,Dark,5/27/1980 8:20:35 PM,5/27/1980 8:25:36 PM,301,0.05,-0.09,
9,80,11/26/2014 8:27:00 PM,Dark,5/27/1980 8:26:03 PM,5/27/1980 8:26:49 PM,46,0.12,0.03,
9,81,11/26/2014 8:28:32 PM,Dark,5/27/1980 8:27:02 PM,5/27/1980 8:28:21 PM,79,-0.16,-0.13,
10,82,11/26/2014 8:32:00 PM,Dark,5/27/1980 8:31:46 PM,5/27/1980 8:31:49 PM,3,0.14,0.01,
10,83,11/26/2014 8:35:19 PM,Dark,5/27/1980 8:32:00 PM,5/27/1980 8:35:09 PM,189,-0.21,-0.21,
10,84,11/26/2014 8:39:34 PM,Dark,5/27/1980 8:35:20 PM,5/27/1980 8:39:23 PM,243,0.16,-0.04,
10,85,11/26/2014 8:41:44 PM,Dark,5/27/1980 8:39:34 PM,5/27/1980 8:41:33 PM,119,0.08,0.04,
10,86,11/26/2014 8:43:56 PM,Dark,5/27/1980 8:42:41 PM,5/27/1980 8:43:46 PM,65,-0.22,-0.18,
10,87,11/26/2014 8:45:11 PM,Dark,5/27/1980 8:44:47 PM,5/27/1980 8:45:00 PM,13,-0.11,-0.29,
10,88,11/26/2014 8:46:34 PM,Dark,5/27/1980 8:45:12 PM,5/27/1980 8:46:23 PM,71,-0.14,-0.43,
10,89,11/26/2014 8:48:05 PM,Dark,5/27/1980 8:47:22 PM,5/27/1980 8:47:54 PM,32,0.20,-0.23,
10,90,11/26/2014 8:49:27 PM,Dark,5/27/1980 8:48:39 PM,5/27/1980 8:49:17 PM,38,0.07,-0.15,
10,91,11/26/2014 8:52:07 PM,Dark,5/27/1980 8:49:30 PM,5/27/1980 8:51:56 PM,146,0.04,-0.11,
10,92,11/26/2014 8:57:07 PM,Dark,5/27/1980 8:52:09 PM,5/27/1980 8:56:57 PM,288,-0.13,-0.25,
