Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,11/26/2014 3:50:51 PM,Light,5/27/1980 3:50:39 PM,5/27/1980 3:50:41 PM,2,0.04,0.04,
1,2,11/26/2014 3:52:24 PM,Light,5/27/1980 3:52:04 PM,5/27/1980 3:52:13 PM,9,-0.05,-0.01,
1,3,11/26/2014 3:53:43 PM,Light,5/27/1980 3:53:15 PM,5/27/1980 3:53:32 PM,17,0.08,0.07,
1,4,11/26/2014 3:54:35 PM,Light,5/27/1980 3:54:16 PM,5/27/1980 3:54:24 PM,8,-0.03,0.04,
1,5,11/26/2014 3:55:51 PM,Light,5/27/1980 3:55:33 PM,5/27/1980 3:55:41 PM,8,-0.06,-0.02,
1,6,11/26/2014 3:58:44 PM,Light,5/27/1980 3:58:24 PM,5/27/1980 3:58:34 PM,10,0.07,0.06,
1,7,11/26/2014 4:03:15 PM,Light,5/27/1980 4:02:12 PM,5/27/1980 4:03:04 PM,52,0.03,0.09,
1,8,11/26/2014 4:04:58 PM,Light,5/27/1980 4:04:43 PM,5/27/1980 4:04:47 PM,4,0.12,0.20,
1,9,11/26/2014 4:06:09 PM,Light,5/27/1980 4:05:40 PM,5/27/1980 4:05:58 PM,18,0.17,0.37,
1,10,11/26/2014 4:15:16 PM,Light,5/27/1980 4:14:57 PM,5/27/1980 4:15:05 PM,8,0.24,0.61,
2,11,11/26/2014 4:17:48 PM,Light,5/27/1980 4:17:11 PM,5/27/1980 4:17:37 PM,26,-0.05,0.56,
2,12,11/26/2014 4:35:24 PM,Light,5/27/1980 4:34:53 PM,5/27/1980 4:35:13 PM,20,-0.03,0.53,
2,13,11/26/2014 4:37:55 PM,Light,5/27/1980 4:37:36 PM,5/27/1980 4:37:44 PM,8,-0.03,0.50,
2,14,11/26/2014 4:46:06 PM,Light,5/27/1980 4:45:52 PM,5/27/1980 4:45:55 PM,3,0.04,0.53,
3,15,11/26/2014 5:07:24 PM,Light,5/27/1980 5:07:07 PM,5/27/1980 5:07:13 PM,6,-0.04,0.50,
3,16,11/26/2014 5:09:01 PM,Light,5/27/1980 5:08:45 PM,5/27/1980 5:08:50 PM,5,0.16,0.65,
3,17,11/26/2014 5:10:31 PM,Light,5/27/1980 5:10:10 PM,5/27/1980 5:10:20 PM,10,-0.05,0.61,
3,18,11/26/2014 5:18:17 PM,Light,5/27/1980 5:17:56 PM,5/27/1980 5:18:06 PM,10,0.25,0.86,
4,19,11/26/2014 5:24:26 PM,Light,5/27/1980 5:22:21 PM,5/27/1980 5:24:15 PM,114,0.18,1.04,
4,20,11/26/2014 5:37:15 PM,Light,5/27/1980 5:36:54 PM,5/27/1980 5:37:04 PM,10,-0.06,0.98,
4,21,11/26/2014 5:42:42 PM,Light,5/27/1980 5:42:22 PM,5/27/1980 5:42:31 PM,9,0.04,1.02,
7,22,11/26/2014 6:57:42 PM,Light,5/27/1980 6:57:16 PM,5/27/1980 6:57:31 PM,15,0.05,1.08,
8,23,11/26/2014 7:47:23 PM,Dark,5/27/1980 7:47:00 PM,5/27/1980 7:47:12 PM,12,-0.16,0.92,
8,24,11/26/2014 7:54:52 PM,Dark,5/27/1980 7:54:40 PM,5/27/1980 7:54:42 PM,2,0.20,1.12,
8,25,11/26/2014 7:56:49 PM,Dark,5/27/1980 7:56:31 PM,5/27/1980 7:56:39 PM,8,0.23,1.35,
9,26,11/26/2014 8:01:51 PM,Dark,5/27/1980 8:01:28 PM,5/27/1980 8:01:40 PM,12,-0.16,1.19,
9,27,11/26/2014 8:10:23 PM,Dark,5/27/1980 8:09:56 PM,5/27/1980 8:10:12 PM,16,-0.06,1.14,
9,28,11/26/2014 8:10:59 PM,Dark,5/27/1980 8:10:27 PM,5/27/1980 8:10:48 PM,21,0.14,1.28,
9,29,11/26/2014 8:22:32 PM,Dark,5/27/1980 8:22:19 PM,5/27/1980 8:22:21 PM,2,0.04,1.32,
10,30,11/26/2014 8:54:31 PM,Dark,5/27/1980 8:54:11 PM,5/27/1980 8:54:20 PM,9,-0.04,1.28,
10,31,11/26/2014 8:54:56 PM,Dark,5/27/1980 8:54:33 PM,5/27/1980 8:54:45 PM,12,0.03,1.31,
10,32,11/26/2014 9:02:41 PM,Dark,5/27/1980 9:00:20 PM,5/27/1980 9:02:30 PM,130,0.09,1.40,
10,33,11/26/2014 9:03:27 PM,Dark,5/27/1980 9:03:14 PM,5/27/1980 9:03:16 PM,2,-0.03,1.37,
11,34,11/26/2014 9:06:46 PM,Dark,5/27/1980 9:06:09 PM,5/27/1980 9:06:36 PM,27,0.13,1.50,
12,35,11/26/2014 9:45:25 PM,Dark,5/28/1980 9:44:36 PM,5/28/1980 9:45:14 PM,38,-0.04,1.46,
12,36,11/26/2014 9:52:32 PM,Dark,5/28/1980 9:51:10 PM,5/28/1980 9:52:21 PM,71,0.30,1.76,
12,37,11/26/2014 9:59:36 PM,Dark,5/28/1980 9:58:17 PM,5/28/1980 9:59:25 PM,68,0.04,1.81,
12,38,11/26/2014 10:01:57 PM,Dark,5/28/1980 9:59:42 PM,5/28/1980 10:01:46 PM,124,0.19,2.00,
12,39,11/26/2014 10:02:26 PM,Dark,5/28/1980 10:02:12 PM,5/28/1980 10:02:16 PM,4,-0.12,1.88,
13,40,11/26/2014 10:09:01 PM,Dark,5/28/1980 10:07:05 PM,5/28/1980 10:08:51 PM,106,-0.05,1.82,
13,41,11/26/2014 10:10:15 PM,Dark,5/28/1980 10:09:56 PM,5/28/1980 10:10:05 PM,9,-0.07,1.75,
13,42,11/26/2014 10:14:52 PM,Dark,5/28/1980 10:14:33 PM,5/28/1980 10:14:42 PM,9,-0.19,1.56,
13,43,11/26/2014 10:26:08 PM,Dark,5/28/1980 10:25:56 PM,5/28/1980 10:25:58 PM,2,-0.09,1.47,
13,44,11/26/2014 10:27:11 PM,Dark,5/28/1980 10:26:29 PM,5/28/1980 10:27:00 PM,31,-0.16,1.31,
13,45,11/26/2014 10:30:28 PM,Dark,5/28/1980 10:27:20 PM,5/28/1980 10:30:17 PM,177,0.10,1.41,
13,46,11/26/2014 10:32:36 PM,Dark,5/28/1980 10:32:20 PM,5/28/1980 10:32:25 PM,5,0.08,1.50,
13,47,11/26/2014 10:33:41 PM,Dark,5/28/1980 10:33:14 PM,5/28/1980 10:33:30 PM,16,-0.07,1.43,
13,48,11/26/2014 10:34:09 PM,Dark,5/28/1980 10:33:54 PM,5/28/1980 10:33:58 PM,4,0.06,1.49,
13,49,11/26/2014 10:38:45 PM,Dark,5/28/1980 10:38:25 PM,5/28/1980 10:38:34 PM,9,-0.08,1.41,
14,50,11/26/2014 10:46:11 PM,Dark,5/28/1980 10:45:47 PM,5/28/1980 10:46:00 PM,13,0.13,1.54,
14,51,11/26/2014 10:51:53 PM,Dark,5/28/1980 10:51:30 PM,5/28/1980 10:51:42 PM,12,-0.05,1.49,
14,52,11/26/2014 10:53:40 PM,Dark,5/28/1980 10:53:26 PM,5/28/1980 10:53:29 PM,3,-0.03,1.46,
14,53,11/26/2014 10:58:13 PM,Dark,5/28/1980 10:56:07 PM,5/28/1980 10:58:03 PM,116,0.14,1.61,
14,54,11/26/2014 10:59:16 PM,Dark,5/28/1980 10:58:14 PM,5/28/1980 10:59:05 PM,51,-0.06,1.55,
14,55,11/26/2014 11:00:00 PM,Dark,5/28/1980 10:59:46 PM,5/28/1980 10:59:49 PM,3,0.05,1.60,
14,56,11/26/2014 11:03:43 PM,Dark,5/28/1980 11:03:16 PM,5/28/1980 11:03:33 PM,17,-0.15,1.45,
14,57,11/26/2014 11:04:55 PM,Dark,5/28/1980 11:04:31 PM,5/28/1980 11:04:44 PM,13,0.11,1.56,
14,58,11/26/2014 11:10:37 PM,Dark,5/28/1980 11:09:50 PM,5/28/1980 11:10:26 PM,36,-0.09,1.47,
15,59,11/26/2014 11:23:42 PM,Dark,5/28/1980 11:23:29 PM,5/28/1980 11:23:32 PM,3,0.06,1.53,
15,60,11/26/2014 11:24:01 PM,Dark,5/28/1980 11:23:48 PM,5/28/1980 11:23:50 PM,2,-0.12,1.41,
15,61,11/26/2014 11:32:23 PM,Dark,5/28/1980 11:32:07 PM,5/28/1980 11:32:13 PM,6,-0.09,1.33,
15,62,11/26/2014 11:39:46 PM,Dark,5/28/1980 11:39:09 PM,5/28/1980 11:39:35 PM,26,0.09,1.42,
15,63,11/26/2014 11:40:34 PM,Dark,5/28/1980 11:39:50 PM,5/28/1980 11:40:23 PM,33,0.13,1.54,
16,64,11/26/2014 11:52:24 PM,Dark,5/28/1980 11:52:03 PM,5/28/1980 11:52:13 PM,10,0.34,1.89,
16,65,11/26/2014 11:53:00 PM,Dark,5/28/1980 11:52:24 PM,5/28/1980 11:52:50 PM,26,-0.04,1.85,
16,66,11/26/2014 11:59:57 PM,Dark,5/28/1980 11:56:29 PM,5/28/1980 11:59:46 PM,197,0.13,1.98,
16,67,11/27/2014 12:00:51 AM,Dark,5/28/1980 12:00:08 AM,5/28/1980 12:00:40 AM,32,0.03,2.01,
16,68,11/27/2014 12:04:11 AM,Dark,5/28/1980 12:03:56 AM,5/28/1980 12:04:00 AM,4,0.05,2.06,
16,69,11/27/2014 12:11:58 AM,Dark,5/28/1980 12:07:11 AM,5/28/1980 12:11:47 AM,276,0.13,2.19,
16,70,11/27/2014 12:12:56 AM,Dark,5/28/1980 12:12:36 AM,5/28/1980 12:12:46 AM,10,0.08,2.27,
17,71,11/27/2014 12:18:45 AM,Dark,5/28/1980 12:18:23 AM,5/28/1980 12:18:35 AM,12,-0.16,2.12,
17,72,11/27/2014 12:20:09 AM,Dark,5/28/1980 12:19:37 AM,5/28/1980 12:19:59 AM,22,-0.04,2.08,
17,73,11/27/2014 12:24:48 AM,Dark,5/28/1980 12:23:50 AM,5/28/1980 12:24:37 AM,47,-0.05,2.03,
17,74,11/27/2014 12:25:30 AM,Dark,5/28/1980 12:24:52 AM,5/28/1980 12:25:19 AM,27,0.04,2.07,
17,75,11/27/2014 12:30:06 AM,Dark,5/28/1980 12:29:46 AM,5/28/1980 12:29:55 AM,9,-0.10,1.97,
17,76,11/27/2014 12:38:40 AM,Dark,5/28/1980 12:38:24 AM,5/28/1980 12:38:29 AM,5,-0.04,1.93,
17,77,11/27/2014 12:40:50 AM,Dark,5/28/1980 12:40:29 AM,5/28/1980 12:40:39 AM,10,0.08,2.00,
17,78,11/27/2014 12:42:42 AM,Dark,5/28/1980 12:42:10 AM,5/28/1980 12:42:32 AM,22,0.17,2.17,
18,79,11/27/2014 12:47:21 AM,Dark,5/28/1980 12:46:52 AM,5/28/1980 12:47:10 AM,18,0.17,2.34,
18,80,11/27/2014 12:47:48 AM,Dark,5/28/1980 12:47:27 AM,5/28/1980 12:47:37 AM,10,0.07,2.42,
18,81,11/27/2014 12:48:17 AM,Dark,5/28/1980 12:48:00 AM,5/28/1980 12:48:06 AM,6,0.29,2.71,
18,82,11/27/2014 12:55:32 AM,Dark,5/28/1980 12:49:30 AM,5/28/1980 12:55:21 AM,351,0.23,2.94,
18,83,11/27/2014 12:56:04 AM,Dark,5/28/1980 12:55:45 AM,5/28/1980 12:55:53 AM,8,0.22,3.15,
18,84,11/27/2014 12:57:49 AM,Dark,5/28/1980 12:57:22 AM,5/28/1980 12:57:39 AM,17,-0.10,3.06,
19,85,11/27/2014 1:21:57 AM,Dark,5/28/1980 1:21:31 AM,5/28/1980 1:21:46 AM,15,-0.04,3.02,
19,86,11/27/2014 1:22:45 AM,Dark,5/28/1980 1:22:32 AM,5/28/1980 1:22:34 AM,2,0.10,3.11,
22,87,11/27/2014 3:14:09 AM,Dark,5/28/1980 3:13:56 AM,5/28/1980 3:13:59 AM,3,0.14,3.25,
23,88,11/27/2014 3:51:29 AM,Dark,5/28/1980 3:42:55 AM,5/28/1980 3:51:18 AM,503,0.26,3.51,
23,89,11/27/2014 3:51:50 AM,Dark,5/28/1980 3:51:32 AM,5/28/1980 3:51:40 AM,8,0.16,3.67,
25,90,11/27/2014 4:31:42 AM,Dark,5/28/1980 4:31:28 AM,5/28/1980 4:31:31 AM,3,-0.07,3.60,
