Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,11/26/2014 3:54:05 PM,Light,5/27/1980 3:45:41 PM,5/27/1980 3:53:54 PM,493,-0.12,-0.12,
1,2,11/26/2014 3:56:13 PM,Light,5/27/1980 3:55:13 PM,5/27/1980 3:56:02 PM,49,0.13,0.01,
1,3,11/26/2014 3:57:23 PM,Light,5/27/1980 3:56:31 PM,5/27/1980 3:57:12 PM,41,0.05,0.07,
1,4,11/26/2014 3:59:06 PM,Light,5/27/1980 3:57:24 PM,5/27/1980 3:58:55 PM,91,0.06,0.13,
1,5,11/26/2014 4:04:52 PM,Light,5/27/1980 3:59:06 PM,5/27/1980 4:04:41 PM,335,-0.04,0.09,
1,6,11/26/2014 4:14:08 PM,Light,5/27/1980 4:06:25 PM,5/27/1980 4:13:57 PM,452,-0.11,-0.01,
1,7,11/26/2014 4:15:06 PM,Light,5/27/1980 4:14:50 PM,5/27/1980 4:14:55 PM,5,-0.14,-0.15,
1,8,11/26/2014 4:15:56 PM,Light,5/27/1980 4:15:21 PM,5/27/1980 4:15:45 PM,24,0.06,-0.09,
2,9,11/26/2014 4:24:33 PM,Light,5/27/1980 4:15:58 PM,5/27/1980 4:24:23 PM,505,-0.10,-0.19,
2,10,11/26/2014 4:34:58 PM,Light,5/27/1980 4:25:10 PM,5/27/1980 4:34:48 PM,578,0.12,-0.07,
2,11,11/26/2014 4:44:50 PM,Light,5/27/1980 4:35:55 PM,5/27/1980 4:44:39 PM,524,-0.27,-0.34,
3,12,11/26/2014 4:55:08 PM,Light,5/27/1980 4:45:48 PM,5/27/1980 4:54:57 PM,549,0.17,-0.17,
3,13,11/26/2014 4:56:19 PM,Light,5/27/1980 4:55:41 PM,5/27/1980 4:56:09 PM,28,-0.05,-0.22,
4,14,11/26/2014 5:24:38 PM,Light,5/27/1980 5:07:19 PM,5/27/1980 5:24:28 PM,1029,0.11,-0.11,
4,15,11/26/2014 5:25:50 PM,Light,5/27/1980 5:24:58 PM,5/27/1980 5:25:39 PM,41,0.13,0.02,
5,16,11/26/2014 5:56:53 PM,Light,5/27/1980 5:42:32 PM,5/27/1980 5:56:42 PM,850,0.05,0.07,
5,17,11/26/2014 6:13:22 PM,Light,5/27/1980 5:58:40 PM,5/27/1980 6:13:11 PM,871,0.06,0.13,
5,18,11/26/2014 6:14:01 PM,Light,5/27/1980 6:13:47 PM,5/27/1980 6:13:51 PM,4,0.06,0.19,
5,19,11/26/2014 6:14:17 PM,Light,5/27/1980 6:14:04 PM,5/27/1980 6:14:06 PM,2,0.11,0.30,
6,20,11/26/2014 6:29:58 PM,Light,5/27/1980 6:15:21 PM,5/27/1980 6:29:47 PM,866,-0.17,0.13,
6,21,11/26/2014 6:30:15 PM,Light,5/27/1980 6:30:01 PM,5/27/1980 6:30:05 PM,4,-0.12,0.01,
7,22,11/26/2014 7:03:29 PM,Dark,5/27/1980 6:47:25 PM,5/27/1980 7:03:18 PM,953,0.05,0.07,
7,23,11/26/2014 7:19:13 PM,Dark,5/27/1980 7:04:09 PM,5/27/1980 7:19:03 PM,894,-0.12,-0.06,
9,24,11/26/2014 8:24:27 PM,Dark,5/27/1980 8:08:29 PM,5/27/1980 8:24:16 PM,947,-0.23,-0.29,
10,25,11/26/2014 8:40:45 PM,Dark,5/27/1980 8:24:43 PM,5/27/1980 8:40:34 PM,951,-0.03,-0.32,
19,26,11/27/2014 1:31:49 AM,Dark,5/27/1980 8:41:02 PM,5/28/1980 1:31:38 AM,17436,0.57,0.25,
19,27,11/27/2014 1:37:57 AM,Dark,5/28/1980 1:31:50 AM,5/28/1980 1:37:46 AM,356,-0.18,0.07,
19,28,11/27/2014 1:39:14 AM,Dark,5/28/1980 1:37:58 AM,5/28/1980 1:39:03 AM,65,-0.08,-0.01,
26,29,11/27/2014 5:22:29 AM,Dark,5/28/1980 1:39:24 AM,5/28/1980 5:22:19 AM,13375,-0.16,-0.17,
26,30,11/27/2014 5:33:23 AM,Dark,5/28/1980 5:31:53 AM,5/28/1980 5:33:12 AM,79,0.08,-0.09,
27,31,11/27/2014 5:34:42 AM,Dark,5/28/1980 5:33:56 AM,5/28/1980 5:34:31 AM,35,0.12,0.04,
27,32,11/27/2014 5:40:12 AM,Dark,5/28/1980 5:34:45 AM,5/28/1980 5:40:01 AM,316,0.16,0.20,
27,33,11/27/2014 5:53:28 AM,Dark,5/28/1980 5:40:13 AM,5/28/1980 5:53:17 AM,784,-0.07,0.13,
27,34,11/27/2014 5:53:57 AM,Dark,5/28/1980 5:53:29 AM,5/28/1980 5:53:47 AM,18,0.11,0.24,
27,35,11/27/2014 5:59:28 AM,Dark,5/28/1980 5:53:59 AM,5/28/1980 5:59:18 AM,319,-0.06,0.19,
