Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,11/26/2014 3:45:40 PM,Light,5/27/1980 3:45:15 PM,5/27/1980 3:45:30 PM,15,0.08,0.08,
1,2,11/26/2014 3:47:00 PM,Light,5/27/1980 3:46:34 PM,5/27/1980 3:46:50 PM,16,-0.06,0.02,
1,3,11/26/2014 3:47:30 PM,Light,5/27/1980 3:47:09 PM,5/27/1980 3:47:19 PM,10,0.10,0.13,
1,4,11/26/2014 3:48:37 PM,Light,5/27/1980 3:47:44 PM,5/27/1980 3:48:26 PM,42,0.08,0.20,
1,5,11/26/2014 3:51:36 PM,Light,5/27/1980 3:48:37 PM,5/27/1980 3:51:25 PM,168,-0.08,0.12,
1,6,11/26/2014 3:52:47 PM,Light,5/27/1980 3:51:54 PM,5/27/1980 3:52:36 PM,42,-0.11,0.01,
1,7,11/26/2014 3:53:28 PM,Light,5/27/1980 3:52:50 PM,5/27/1980 3:53:17 PM,27,0.07,0.08,
1,8,11/26/2014 3:55:55 PM,Light,5/27/1980 3:55:33 PM,5/27/1980 3:55:45 PM,12,-0.16,-0.08,
1,9,11/26/2014 3:57:51 PM,Light,5/27/1980 3:57:08 PM,5/27/1980 3:57:40 PM,32,0.09,0.01,
1,10,11/26/2014 3:58:27 PM,Light,5/27/1980 3:58:13 PM,5/27/1980 3:58:16 PM,3,-0.10,-0.09,
1,11,11/26/2014 3:58:49 PM,Light,5/27/1980 3:58:35 PM,5/27/1980 3:58:39 PM,4,-0.09,-0.17,
1,12,11/26/2014 4:00:16 PM,Light,5/27/1980 3:59:53 PM,5/27/1980 4:00:05 PM,12,0.05,-0.13,
1,13,11/26/2014 4:03:47 PM,Light,5/27/1980 4:01:59 PM,5/27/1980 4:03:37 PM,98,0.12,-0.01,
1,14,11/26/2014 4:05:00 PM,Light,5/27/1980 4:04:12 PM,5/27/1980 4:04:49 PM,37,-0.08,-0.09,
1,15,11/26/2014 4:05:25 PM,Light,5/27/1980 4:05:08 PM,5/27/1980 4:05:14 PM,6,0.06,-0.03,
1,16,11/26/2014 4:06:57 PM,Light,5/27/1980 4:06:36 PM,5/27/1980 4:06:47 PM,11,-0.12,-0.15,
1,17,11/26/2014 4:11:09 PM,Light,5/27/1980 4:10:40 PM,5/27/1980 4:10:58 PM,18,0.05,-0.10,
1,18,11/26/2014 4:13:11 PM,Light,5/27/1980 4:12:21 PM,5/27/1980 4:13:01 PM,40,0.10,0.00,
1,19,11/26/2014 4:14:47 PM,Light,5/27/1980 4:13:48 PM,5/27/1980 4:14:36 PM,48,-0.07,-0.08,
