"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time"
"32",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2015-03-09","fed",28721,"24930",NA
"33",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2015-03-09","fed",28751,"32300",NA
"34",168,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Grip Strength (4 Paw)","2015-03-09","fed",28753,"2580,2470,2450,2130,2600",NA
"35",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2015-03-16","fed",29898,"34600","15:30:00"
"36",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2015-03-16","fed",29981,"9740","15:30:00"
"37",175,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2015-03-16","fed",29982,"23950","15:30:00"
"38",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2015-03-23","fed",31020,"33500","16:00:00"
"39",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Grip Strength (4 Paw)","2015-03-23","fed",31039,"2490,2830,2440,2440,2480","16:00:00"
"40",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2015-03-23","fed",31237,"10080","16:00:00"
"41",182,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2015-03-23","fed",31238,"22520","16:00:00"
"42",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2015-03-30","fed",32144,"32300","15:30:00"
"43",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Grip Strength (4 Paw)","2015-03-30","fed",32162,"2170,2350,1980,1990,2600","15:30:00"
"44",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2015-03-30","fed",32225,"8750","15:30:00"
"45",189,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2015-03-30","fed",32226,"20920","15:30:00"
