"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time","experiment.fasting_time"
"148",175,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-02-02","fed",24534,"12320",NA,NA
"149",175,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-02-02","fed",24558,"22850",NA,NA
"150",175,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Grip Strength (4 Paw)","2015-02-02","fed",24582,"2180,2140,1890,2030,1760",NA,NA
"151",182,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-02-09","fed",25445,"10100",NA,NA
"152",182,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-02-09","fed",25469,"21340",NA,NA
"153",182,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-02-09","fed",25493,"32400",NA,NA
"154",184,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Plasma Glucose","2015-02-11","fasted",25771,"105,138,91,91,83,85,101,99,104","14:30:00",6
"155",189,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-02-16","fed",26055,"10760","16:00:00",NA
"156",189,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-02-16","fed",26056,"21880","16:00:00",NA
"157",189,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-02-16","fed",26057,"34000","16:00:00",NA
"158",189,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Grip Strength (4 Paw)","2015-02-16","fed",26088,"1610,1910,2030,1740,1760","16:00:00",NA
"159",196,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Body Weight","2015-02-23","fed",26685,"31600","16:00:00",NA
"160",196,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Total Fat Mass","2015-02-23","fed",26759,"9850","16:00:00",NA
"161",196,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Lean Mass","2015-02-23","fed",26761,"20850","16:00:00",NA
"162",196,FALSE,"C57BL/6J","Unknown","2015-02-24","M","+/+",1767,197,7000,"C57BL/6J","Grip Strength (4 Paw)","2015-02-23","fed",26805,"2320,2140,2360,2180,1860","16:00:00",NA
"163",71,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Body Weight","2014-10-21","fed",15861,"22600",NA,NA
"164",71,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Total Fat Mass","2014-10-21","fed",15862,"1010",NA,NA
"165",71,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Lean Mass","2014-10-21","fed",15863,"21200",NA,NA
"166",67,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Body Weight","2014-10-17","fed",15961,"24130",NA,NA
"167",67,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Total Fat Mass","2014-10-17","fed",15962,"1740",NA,NA
"168",67,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Lean Mass","2014-10-17","fed",15963,"21800",NA,NA
"169",70,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Body Weight","2014-10-20","fed",16009,"24200",NA,NA
"170",70,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Total Fat Mass","2014-10-20","fed",16010,"1170",NA,NA
"171",70,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Lean Mass","2014-10-20","fed",16011,"22340",NA,NA
"172",85,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Body Weight","2014-11-04","fed",16984,"26300",NA,NA
"173",85,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Total Fat Mass","2014-11-04","fed",16985,"2690",NA,NA
"174",85,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Lean Mass","2014-11-04","fed",16986,"22760",NA,NA
"175",99,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Body Weight","2014-11-18","fed",18652,"28800",NA,NA
"176",99,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Total Fat Mass","2014-11-18","fed",18653,"3550",NA,NA
"177",99,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1768,198,7001,"C57BL/6J","Lean Mass","2014-11-18","fed",18654,"24510",NA,NA
