"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time","experiment.fasting_time"
"58",67,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2014-10-17","fed",15954,"21500",NA,NA
"59",67,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2014-10-17","fed",15956,"1780",NA,NA
"60",67,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2014-10-17","fed",15957,"19520",NA,NA
"61",70,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2014-10-20","fed",16024,"21700",NA,NA
"62",70,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2014-10-20","fed",16025,"1850",NA,NA
"63",70,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2014-10-20","fed",16026,"19580",NA,NA
"64",85,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2014-11-04","fed",16978,"24400",NA,NA
"65",85,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2014-11-04","fed",16979,"3360",NA,NA
"66",85,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2014-11-04","fed",16980,"20550",NA,NA
"67",99,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2014-11-18","fed",18661,"26000",NA,NA
"68",99,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2014-11-18","fed",18662,"4470",NA,NA
"69",99,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2014-11-18","fed",18663,"20910",NA,NA
"70",115,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2014-12-04","fed",19674,"31100",NA,NA
"71",115,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2014-12-04","fed",19675,"7480",NA,NA
"72",115,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2014-12-04","fed",19676,"22650",NA,NA
"73",127,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2014-12-16","fed",20830,"30500",NA,NA
"74",127,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20831,"8290",NA,NA
"75",127,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2014-12-16","fed",20832,"21610",NA,NA
"76",141,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2014-12-30","fed",21234,"32500",NA,NA
"77",141,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21235,"9550",NA,NA
"78",141,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2014-12-30","fed",21236,"22290",NA,NA
"79",155,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Body Weight","2015-01-13","fed",22796,"35100",NA,NA
"80",155,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Total Fat Mass","2015-01-13","fed",22797,"12120",NA,NA
"81",155,FALSE,"C57BL/6J","Sacrificed","2015-02-25","M","+/+",1766,198,6999,"C57BL/6J","Lean Mass","2015-01-13","fed",22798,"22190",NA,NA
