"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","HFD","Rapamycin","Weight"
"30","C57BL/6J-EarTag #17",133640,"C57BL/6J","+/+",70,"Body Weight",26000,"fed","Control Diet",FALSE,FALSE,26
"31","C57BL/6J-EarTag #18",133640,"C57BL/6J","+/+",70,"Body Weight",26100,"fed","Control Diet",FALSE,FALSE,26.1
"32","C57BL/6J-EarTag #19",133640,"C57BL/6J","+/+",70,"Body Weight",28800,"fed","Control Diet",FALSE,FALSE,28.8
"33","C57BL/6J-EarTag #20",133640,"C57BL/6J","+/+",70,"Body Weight",27600,"fed","Control Diet",FALSE,FALSE,27.6
"34","C57BL/6J-EarTag #21",133640,"C57BL/6J","+/+",70,"Body Weight",29800,"fed","Control Diet",FALSE,FALSE,29.8
"35","C57BL/6J-EarTag #26",133642,"C57BL/6J","+/+",70,"Body Weight",28400,"fed","Control Diet",FALSE,FALSE,28.4
"36","C57BL/6J-EarTag #27",133642,"C57BL/6J","+/+",70,"Body Weight",29500,"fed","Control Diet",FALSE,FALSE,29.5
"37","C57BL/6J-EarTag #28",133642,"C57BL/6J","+/+",70,"Body Weight",28900,"fed","Control Diet",FALSE,FALSE,28.9
"38","C57BL/6J-EarTag #29",133642,"C57BL/6J","+/+",70,"Body Weight",24700,"fed","Control Diet",FALSE,FALSE,24.7
"39","C57BL/6J-EarTag #30",133642,"C57BL/6J","+/+",70,"Body Weight",25200,"fed","Control Diet",FALSE,FALSE,25.2
"40","C57BL/6J-EarTag #44",133643,"C57BL/6J","+/+",70,"Body Weight",25900,"fed","Control Diet",FALSE,FALSE,25.9
"41","C57BL/6J-EarTag #45",133643,"C57BL/6J","+/+",70,"Body Weight",29300,"fed","Control Diet",FALSE,FALSE,29.3
"42","C57BL/6J-EarTag #46",133643,"C57BL/6J","+/+",70,"Body Weight",24800,"fed","Control Diet",FALSE,FALSE,24.8
"43","C57BL/6J-EarTag #47",133643,"C57BL/6J","+/+",70,"Body Weight",26100,"fed","Control Diet",FALSE,FALSE,26.1
"44","C57BL/6J-EarTag #48",133643,"C57BL/6J","+/+",70,"Body Weight",29600,"fed","Control Diet",FALSE,FALSE,29.6
"45","C57BL/6J-EarTag #9",133639,"C57BL/6J","+/+",70,"Body Weight",26200,"fed","Control Diet",FALSE,FALSE,26.2
"46","C57BL/6J-EarTag #1",133637,"C57BL/6J","+/+",71,"Body Weight",22330,"fasted","High Fat Diet",TRUE,FALSE,22.33
"47","C57BL/6J-EarTag #2",133637,"C57BL/6J","+/+",71,"Body Weight",22790,"fasted","High Fat Diet",TRUE,FALSE,22.79
"48","C57BL/6J-EarTag #3",133637,"C57BL/6J","+/+",71,"Body Weight",24910,"fasted","High Fat Diet",TRUE,FALSE,24.91
"49","C57BL/6J-EarTag #4",133637,"C57BL/6J","+/+",71,"Body Weight",26470,"fasted","High Fat Diet",TRUE,FALSE,26.47
"50","C57BL/6J-EarTag #11",133638,"C57BL/6J","+/+",71,"Body Weight",21720,"fasted","High Fat Diet",TRUE,FALSE,21.72
"51","C57BL/6J-EarTag #12",133638,"C57BL/6J","+/+",71,"Body Weight",21700,"fasted","High Fat Diet",TRUE,FALSE,21.7
"52","C57BL/6J-EarTag #15",133638,"C57BL/6J","+/+",71,"Body Weight",22560,"fasted","High Fat Diet",TRUE,FALSE,22.56
"53","C57BL/6J-EarTag #16",133638,"C57BL/6J","+/+",71,"Body Weight",22030,"fasted","High Fat Diet",TRUE,FALSE,22.03
