"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","HFD","Rapamycin","Weight"
"190","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",152,"Body Weight",40010,"fed","High Fat Diet",TRUE,FALSE,40.01
"191","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",152,"Body Weight",42150,"fed","High Fat Diet",TRUE,FALSE,42.15
"192","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",152,"Body Weight",41580,"fed","High Fat Diet",TRUE,FALSE,41.58
"193","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",152,"Body Weight",48970,"fed","High Fat Diet",TRUE,FALSE,48.97
"194","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",152,"Body Weight",31000,"fed","High Fat Diet",TRUE,FALSE,31
"195","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",152,"Body Weight",33410,"fed","High Fat Diet",TRUE,FALSE,33.41
"196","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",152,"Body Weight",43960,"fed","High Fat Diet",TRUE,FALSE,43.96
"197","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",152,"Body Weight",35730,"fed","High Fat Diet",TRUE,FALSE,35.73
"198","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",152,"Body Weight",42990,"fed","High Fat Diet",TRUE,FALSE,42.99
"199","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",152,"Body Weight",35550,"fed","High Fat Diet",TRUE,FALSE,35.55
"200","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",152,"Body Weight",26710,"fed","Normal Chow Diet",FALSE,FALSE,26.71
"201","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",152,"Body Weight",25940,"fed","Normal Chow Diet",FALSE,FALSE,25.94
"202","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",152,"Body Weight",26770,"fed","Normal Chow Diet",FALSE,FALSE,26.77
"203","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",152,"Body Weight",27020,"fed","Normal Chow Diet",FALSE,FALSE,27.02
"204","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",152,"Body Weight",24610,"fed","Normal Chow Diet",FALSE,FALSE,24.61
"205","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",152,"Body Weight",31080,"fed","Normal Chow Diet",FALSE,FALSE,31.08
"206","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",152,"Body Weight",31030,"fed","Normal Chow Diet",FALSE,FALSE,31.03
"207","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",152,"Body Weight",27880,"fed","Normal Chow Diet",FALSE,FALSE,27.88
"208","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",152,"Body Weight",29620,"fed","Normal Chow Diet",FALSE,FALSE,29.62
"209","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",152,"Body Weight",32870,"fed","Normal Chow Diet",FALSE,FALSE,32.87
"210","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",152,"Body Weight",40500,"fed","High Fat Diet",TRUE,FALSE,40.5
"211","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",152,"Body Weight",42330,"fed","High Fat Diet",TRUE,FALSE,42.33
"212","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",152,"Body Weight",45020,"fed","High Fat Diet",TRUE,FALSE,45.02
"213","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",152,"Body Weight",42770,"fed","High Fat Diet",TRUE,FALSE,42.77
"214","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",153,"Body Weight",31490,"fasted","High Fat Diet",TRUE,FALSE,31.49
"215","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",153,"Body Weight",31150,"fasted","High Fat Diet",TRUE,FALSE,31.15
"216","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",153,"Body Weight",33740,"fasted","High Fat Diet",TRUE,FALSE,33.74
"217","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",153,"Body Weight",30020,"fasted","High Fat Diet",TRUE,FALSE,30.02
"218","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",153,"Body Weight",27710,"fasted","Normal Chow Diet",FALSE,FALSE,27.71
"219","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",153,"Body Weight",25330,"fasted","Normal Chow Diet",FALSE,FALSE,25.33
"220","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",153,"Body Weight",28530,"fasted","Normal Chow Diet",FALSE,FALSE,28.53
"221","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",153,"Body Weight",26500,"fasted","Normal Chow Diet",FALSE,FALSE,26.5
"222","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",153,"Body Weight",28140,"fasted","Normal Chow Diet",FALSE,FALSE,28.14
"223","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",153,"Body Weight",39870,"fasted","High Fat Diet",TRUE,FALSE,39.87
"224","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",153,"Body Weight",41360,"fasted","High Fat Diet",TRUE,FALSE,41.36
"225","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",153,"Body Weight",38400,"fasted","High Fat Diet",TRUE,FALSE,38.4
"226","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",153,"Body Weight",40210,"fasted","High Fat Diet",TRUE,FALSE,40.21
"227","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",153,"Body Weight",40170,"fasted","High Fat Diet",TRUE,FALSE,40.17
"228","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",153,"Body Weight",46400,"fasted","High Fat Diet",TRUE,FALSE,46.4
"229","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",153,"Body Weight",29510,"fasted","High Fat Diet",TRUE,FALSE,29.51
"230","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",153,"Body Weight",32030,"fasted","High Fat Diet",TRUE,FALSE,32.03
"231","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",153,"Body Weight",41910,"fasted","High Fat Diet",TRUE,FALSE,41.91
"232","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",153,"Body Weight",34210,"fasted","High Fat Diet",TRUE,FALSE,34.21
"233","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",153,"Body Weight",41130,"fasted","High Fat Diet",TRUE,FALSE,41.13
"234","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",153,"Body Weight",34140,"fasted","High Fat Diet",TRUE,FALSE,34.14
"235","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",153,"Body Weight",24730,"fasted","Normal Chow Diet",FALSE,FALSE,24.73
"236","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",153,"Body Weight",23760,"fasted","Normal Chow Diet",FALSE,FALSE,23.76
"237","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",153,"Body Weight",25020,"fasted","Normal Chow Diet",FALSE,FALSE,25.02
"238","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",153,"Body Weight",24800,"fasted","Normal Chow Diet",FALSE,FALSE,24.8
"239","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",153,"Body Weight",22260,"fasted","Normal Chow Diet",FALSE,FALSE,22.26
"240","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",153,"Body Weight",27380,"fasted","Normal Chow Diet",FALSE,FALSE,27.38
"241","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",153,"Body Weight",27720,"fasted","Normal Chow Diet",FALSE,FALSE,27.72
"242","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",153,"Body Weight",25310,"fasted","Normal Chow Diet",FALSE,FALSE,25.31
"243","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",153,"Body Weight",26370,"fasted","Normal Chow Diet",FALSE,FALSE,26.37
"244","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",153,"Body Weight",28810,"fasted","Normal Chow Diet",FALSE,FALSE,28.81
"245","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",153,"Body Weight",39020,"fasted","High Fat Diet",TRUE,FALSE,39.02
"246","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",153,"Body Weight",40330,"fasted","High Fat Diet",TRUE,FALSE,40.33
"247","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",153,"Body Weight",43060,"fasted","High Fat Diet",TRUE,FALSE,43.06
"248","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",153,"Body Weight",40810,"fasted","High Fat Diet",TRUE,FALSE,40.81
"249","C57BL/6J-EarTag #200",209923,"C57BL/6J","+/+",152,"Body Weight",39850,"fed","High Fat Diet",TRUE,FALSE,39.85
"250","C57BL/6J-EarTag #201",209923,"C57BL/6J","+/+",152,"Body Weight",42470,"fed","High Fat Diet",TRUE,FALSE,42.47
"251","C57BL/6J-EarTag #202",209923,"C57BL/6J","+/+",152,"Body Weight",29990,"fed","High Fat Diet",TRUE,FALSE,29.99
"252","C57BL/6J-EarTag #203",209923,"C57BL/6J","+/+",152,"Body Weight",32210,"fed","High Fat Diet",TRUE,FALSE,32.21
"253","C57BL/6J-EarTag #205",209924,"C57BL/6J","+/+",152,"Body Weight",30970,"fed","Normal Chow Diet",FALSE,FALSE,30.97
"254","C57BL/6J-EarTag #204",209924,"C57BL/6J","+/+",152,"Body Weight",27240,"fed","Normal Chow Diet",FALSE,FALSE,27.24
"255","C57BL/6J-EarTag #206",209924,"C57BL/6J","+/+",152,"Body Weight",30410,"fed","Normal Chow Diet",FALSE,FALSE,30.41
"256","C57BL/6J-EarTag #207",209924,"C57BL/6J","+/+",152,"Body Weight",32260,"fed","Normal Chow Diet",FALSE,FALSE,32.26
"257","C57BL/6J-EarTag #208",209924,"C57BL/6J","+/+",152,"Body Weight",28740,"fed","Normal Chow Diet",FALSE,FALSE,28.74
"258","C57BL/6J-EarTag #209",209925,"C57BL/6J","+/+",152,"Body Weight",30820,"fed","Normal Chow Diet",FALSE,FALSE,30.82
"259","C57BL/6J-EarTag #210",209925,"C57BL/6J","+/+",152,"Body Weight",27330,"fed","Normal Chow Diet",FALSE,FALSE,27.33
"260","C57BL/6J-EarTag #211",209925,"C57BL/6J","+/+",152,"Body Weight",29500,"fed","Normal Chow Diet",FALSE,FALSE,29.5
"261","C57BL/6J-EarTag #212",209925,"C57BL/6J","+/+",152,"Body Weight",27760,"fed","Normal Chow Diet",FALSE,FALSE,27.76
"262","C57BL/6J-EarTag #213",209925,"C57BL/6J","+/+",152,"Body Weight",30120,"fed","Normal Chow Diet",FALSE,FALSE,30.12
"263","C57BL/6J-EarTag #214",209926,"C57BL/6J","+/+",152,"Body Weight",41040,"fed","High Fat Diet",TRUE,FALSE,41.04
"264","C57BL/6J-EarTag #215",209926,"C57BL/6J","+/+",152,"Body Weight",30610,"fed","High Fat Diet",TRUE,FALSE,30.61
"265","C57BL/6J-EarTag #216",209926,"C57BL/6J","+/+",152,"Body Weight",29870,"fed","High Fat Diet",TRUE,FALSE,29.87
"266","C57BL/6J-EarTag #217",209926,"C57BL/6J","+/+",152,"Body Weight",36570,"fed","High Fat Diet",TRUE,FALSE,36.57
"267","C57BL/6J-EarTag #218",209927,"C57BL/6J","+/+",152,"Body Weight",38130,"fed","High Fat Diet",TRUE,FALSE,38.13
"268","C57BL/6J-EarTag #219",209927,"C57BL/6J","+/+",152,"Body Weight",36270,"fed","High Fat Diet",TRUE,FALSE,36.27
"269","C57BL/6J-EarTag #220",209927,"C57BL/6J","+/+",152,"Body Weight",41620,"fed","High Fat Diet",TRUE,FALSE,41.62
"270","C57BL/6J-EarTag #221",209927,"C57BL/6J","+/+",152,"Body Weight",46550,"fed","High Fat Diet",TRUE,FALSE,46.55
"271","C57BL/6J-EarTag #200",209923,"C57BL/6J","+/+",153,"Body Weight",37470,"fasted","High Fat Diet",TRUE,FALSE,37.47
"272","C57BL/6J-EarTag #201",209923,"C57BL/6J","+/+",153,"Body Weight",40570,"fasted","High Fat Diet",TRUE,FALSE,40.57
"273","C57BL/6J-EarTag #202",209923,"C57BL/6J","+/+",153,"Body Weight",28120,"fasted","High Fat Diet",TRUE,FALSE,28.12
"274","C57BL/6J-EarTag #203",209923,"C57BL/6J","+/+",153,"Body Weight",30680,"fasted","High Fat Diet",TRUE,FALSE,30.68
"275","C57BL/6J-EarTag #205",209924,"C57BL/6J","+/+",153,"Body Weight",28950,"fasted","Normal Chow Diet",FALSE,FALSE,28.95
"276","C57BL/6J-EarTag #204",209924,"C57BL/6J","+/+",153,"Body Weight",25420,"fasted","Normal Chow Diet",FALSE,FALSE,25.42
"277","C57BL/6J-EarTag #206",209924,"C57BL/6J","+/+",153,"Body Weight",27760,"fasted","Normal Chow Diet",FALSE,FALSE,27.76
"278","C57BL/6J-EarTag #207",209924,"C57BL/6J","+/+",153,"Body Weight",29050,"fasted","Normal Chow Diet",FALSE,FALSE,29.05
"279","C57BL/6J-EarTag #208",209924,"C57BL/6J","+/+",153,"Body Weight",26290,"fasted","Normal Chow Diet",FALSE,FALSE,26.29
"280","C57BL/6J-EarTag #209",209925,"C57BL/6J","+/+",153,"Body Weight",28230,"fasted","Normal Chow Diet",FALSE,FALSE,28.23
"281","C57BL/6J-EarTag #210",209925,"C57BL/6J","+/+",153,"Body Weight",25610,"fasted","Normal Chow Diet",FALSE,FALSE,25.61
"282","C57BL/6J-EarTag #211",209925,"C57BL/6J","+/+",153,"Body Weight",27440,"fasted","Normal Chow Diet",FALSE,FALSE,27.44
"283","C57BL/6J-EarTag #212",209925,"C57BL/6J","+/+",153,"Body Weight",25780,"fasted","Normal Chow Diet",FALSE,FALSE,25.78
"284","C57BL/6J-EarTag #213",209925,"C57BL/6J","+/+",153,"Body Weight",27650,"fasted","Normal Chow Diet",FALSE,FALSE,27.65
"285","C57BL/6J-EarTag #214",209926,"C57BL/6J","+/+",153,"Body Weight",38800,"fasted","High Fat Diet",TRUE,FALSE,38.8
"286","C57BL/6J-EarTag #215",209926,"C57BL/6J","+/+",153,"Body Weight",29040,"fasted","High Fat Diet",TRUE,FALSE,29.04
"287","C57BL/6J-EarTag #216",209926,"C57BL/6J","+/+",153,"Body Weight",28390,"fasted","High Fat Diet",TRUE,FALSE,28.39
"288","C57BL/6J-EarTag #217",209926,"C57BL/6J","+/+",153,"Body Weight",34720,"fasted","High Fat Diet",TRUE,FALSE,34.72
"289","C57BL/6J-EarTag #218",209927,"C57BL/6J","+/+",153,"Body Weight",36000,"fasted","High Fat Diet",TRUE,FALSE,36
"290","C57BL/6J-EarTag #219",209927,"C57BL/6J","+/+",153,"Body Weight",34850,"fasted","High Fat Diet",TRUE,FALSE,34.85
"291","C57BL/6J-EarTag #220",209927,"C57BL/6J","+/+",153,"Body Weight",40070,"fasted","High Fat Diet",TRUE,FALSE,40.07
"292","C57BL/6J-EarTag #221",209927,"C57BL/6J","+/+",153,"Body Weight",44640,"fasted","High Fat Diet",TRUE,FALSE,44.64
"293","C57BL/6J-EarTag #1",133637,"C57BL/6J","+/+",154,"Body Weight",46330,"fed","High Fat Diet",TRUE,FALSE,46.33
"294","C57BL/6J-EarTag #2",133637,"C57BL/6J","+/+",154,"Body Weight",45440,"fed","High Fat Diet",TRUE,FALSE,45.44
"295","C57BL/6J-EarTag #3",133637,"C57BL/6J","+/+",154,"Body Weight",48260,"fed","High Fat Diet",TRUE,FALSE,48.26
"296","C57BL/6J-EarTag #4",133637,"C57BL/6J","+/+",154,"Body Weight",51230,"fed","High Fat Diet",TRUE,FALSE,51.23
"297","C57BL/6J-EarTag #11",133638,"C57BL/6J","+/+",154,"Body Weight",43100,"fed","High Fat Diet",TRUE,FALSE,43.1
"298","C57BL/6J-EarTag #12",133638,"C57BL/6J","+/+",154,"Body Weight",46450,"fed","High Fat Diet",TRUE,FALSE,46.45
"299","C57BL/6J-EarTag #15",133638,"C57BL/6J","+/+",154,"Body Weight",39200,"fed","High Fat Diet",TRUE,FALSE,39.2
"300","C57BL/6J-EarTag #16",133638,"C57BL/6J","+/+",154,"Body Weight",44980,"fed","High Fat Diet",TRUE,FALSE,44.98
"301","C57BL/6J-EarTag #22",133635,"C57BL/6J","+/+",154,"Body Weight",47210,"fed","High Fat Diet",TRUE,FALSE,47.21
"302","C57BL/6J-EarTag #23",133635,"C57BL/6J","+/+",154,"Body Weight",46300,"fed","High Fat Diet",TRUE,FALSE,46.3
"303","C57BL/6J-EarTag #24",133635,"C57BL/6J","+/+",154,"Body Weight",49260,"fed","High Fat Diet",TRUE,FALSE,49.26
"304","C57BL/6J-EarTag #25",133635,"C57BL/6J","+/+",154,"Body Weight",45320,"fed","High Fat Diet",TRUE,FALSE,45.32
"305","C57BL/6J-EarTag #31",133636,"C57BL/6J","+/+",154,"Body Weight",45030,"fed","High Fat Diet",TRUE,FALSE,45.03
"306","C57BL/6J-EarTag #32",133636,"C57BL/6J","+/+",154,"Body Weight",44620,"fed","High Fat Diet",TRUE,FALSE,44.62
"307","C57BL/6J-EarTag #33",133636,"C57BL/6J","+/+",154,"Body Weight",37070,"fed","High Fat Diet",TRUE,FALSE,37.07
"308","C57BL/6J-EarTag #34",133636,"C57BL/6J","+/+",154,"Body Weight",46110,"fed","High Fat Diet",TRUE,FALSE,46.11
"309","C57BL/6J-EarTag #35",133644,"C57BL/6J","+/+",154,"Body Weight",47500,"fed","High Fat Diet",TRUE,FALSE,47.5
"310","C57BL/6J-EarTag #36",133644,"C57BL/6J","+/+",154,"Body Weight",43870,"fed","High Fat Diet",TRUE,FALSE,43.87
"311","C57BL/6J-EarTag #37",133644,"C57BL/6J","+/+",154,"Body Weight",45270,"fed","High Fat Diet",TRUE,FALSE,45.27
"312","C57BL/6J-EarTag #38",133644,"C57BL/6J","+/+",154,"Body Weight",43480,"fed","High Fat Diet",TRUE,FALSE,43.48
"313","C57BL/6J-EarTag #39",133644,"C57BL/6J","+/+",154,"Body Weight",47910,"fed","High Fat Diet",TRUE,FALSE,47.91
"314","C57BL/6J-EarTag #40",133641,"C57BL/6J","+/+",154,"Body Weight",43170,"fed","High Fat Diet",TRUE,FALSE,43.17
"315","C57BL/6J-EarTag #41",133641,"C57BL/6J","+/+",154,"Body Weight",47240,"fed","High Fat Diet",TRUE,FALSE,47.24
"316","C57BL/6J-EarTag #42",133641,"C57BL/6J","+/+",154,"Body Weight",49370,"fed","High Fat Diet",TRUE,FALSE,49.37
"317","C57BL/6J-EarTag #43",133641,"C57BL/6J","+/+",154,"Body Weight",48890,"fed","High Fat Diet",TRUE,FALSE,48.89
"318","C57BL/6J-EarTag #5",133639,"C57BL/6J","+/+",154,"Body Weight",39980,"fed","Control Diet",FALSE,FALSE,39.98
"319","C57BL/6J-EarTag #6",133639,"C57BL/6J","+/+",154,"Body Weight",37450,"fed","Control Diet",FALSE,FALSE,37.45
"320","C57BL/6J-EarTag #7",133639,"C57BL/6J","+/+",154,"Body Weight",42180,"fed","Control Diet",FALSE,FALSE,42.18
"321","C57BL/6J-EarTag #9",133639,"C57BL/6J","+/+",154,"Body Weight",38910,"fed","Control Diet",FALSE,FALSE,38.91
"322","C57BL/6J-EarTag #10",133639,"C57BL/6J","+/+",154,"Body Weight",40370,"fed","Control Diet",FALSE,FALSE,40.37
"323","C57BL/6J-EarTag #17",133640,"C57BL/6J","+/+",154,"Body Weight",40010,"fed","Control Diet",FALSE,FALSE,40.01
"324","C57BL/6J-EarTag #18",133640,"C57BL/6J","+/+",154,"Body Weight",37410,"fed","Control Diet",FALSE,FALSE,37.41
"325","C57BL/6J-EarTag #19",133640,"C57BL/6J","+/+",154,"Body Weight",41750,"fed","Control Diet",FALSE,FALSE,41.75
"326","C57BL/6J-EarTag #20",133640,"C57BL/6J","+/+",154,"Body Weight",39650,"fed","Control Diet",FALSE,FALSE,39.65
"327","C57BL/6J-EarTag #21",133640,"C57BL/6J","+/+",154,"Body Weight",37340,"fed","Control Diet",FALSE,FALSE,37.34
"328","C57BL/6J-EarTag #26",133642,"C57BL/6J","+/+",154,"Body Weight",35340,"fed","Control Diet",FALSE,FALSE,35.34
"329","C57BL/6J-EarTag #27",133642,"C57BL/6J","+/+",154,"Body Weight",39710,"fed","Control Diet",FALSE,FALSE,39.71
"330","C57BL/6J-EarTag #28",133642,"C57BL/6J","+/+",154,"Body Weight",38000,"fed","Control Diet",FALSE,FALSE,38
"331","C57BL/6J-EarTag #29",133642,"C57BL/6J","+/+",154,"Body Weight",34520,"fed","Control Diet",FALSE,FALSE,34.52
"332","C57BL/6J-EarTag #30",133642,"C57BL/6J","+/+",154,"Body Weight",33950,"fed","Control Diet",FALSE,FALSE,33.95
"333","C57BL/6J-EarTag #44",133643,"C57BL/6J","+/+",154,"Body Weight",40020,"fed","Control Diet",FALSE,FALSE,40.02
"334","C57BL/6J-EarTag #45",133643,"C57BL/6J","+/+",154,"Body Weight",47580,"fed","Control Diet",FALSE,FALSE,47.58
"335","C57BL/6J-EarTag #46",133643,"C57BL/6J","+/+",154,"Body Weight",39320,"fed","Control Diet",FALSE,FALSE,39.32
"336","C57BL/6J-EarTag #47",133643,"C57BL/6J","+/+",154,"Body Weight",32810,"fed","Control Diet",FALSE,FALSE,32.81
"337","C57BL/6J-EarTag #48",133643,"C57BL/6J","+/+",154,"Body Weight",44430,"fed","Control Diet",FALSE,FALSE,44.43
"338","C57BL/6J-EarTag #1",133637,"C57BL/6J","+/+",155,"Body Weight",44300,"fasted","High Fat Diet",TRUE,FALSE,44.3
"339","C57BL/6J-EarTag #2",133637,"C57BL/6J","+/+",155,"Body Weight",43100,"fasted","High Fat Diet",TRUE,FALSE,43.1
"340","C57BL/6J-EarTag #3",133637,"C57BL/6J","+/+",155,"Body Weight",45800,"fasted","High Fat Diet",TRUE,FALSE,45.8
"341","C57BL/6J-EarTag #4",133637,"C57BL/6J","+/+",155,"Body Weight",48700,"fasted","High Fat Diet",TRUE,FALSE,48.7
"342","C57BL/6J-EarTag #5",133639,"C57BL/6J","+/+",155,"Body Weight",38000,"fasted","Control Diet",FALSE,FALSE,38
"343","C57BL/6J-EarTag #6",133639,"C57BL/6J","+/+",155,"Body Weight",35800,"fasted","Control Diet",FALSE,FALSE,35.8
"344","C57BL/6J-EarTag #7",133639,"C57BL/6J","+/+",155,"Body Weight",40100,"fasted","Control Diet",FALSE,FALSE,40.1
"345","C57BL/6J-EarTag #9",133639,"C57BL/6J","+/+",155,"Body Weight",36100,"fasted","Control Diet",FALSE,FALSE,36.1
"346","C57BL/6J-EarTag #10",133639,"C57BL/6J","+/+",155,"Body Weight",38500,"fasted","Control Diet",FALSE,FALSE,38.5
"347","C57BL/6J-EarTag #17",133640,"C57BL/6J","+/+",155,"Body Weight",38000,"fasted","Control Diet",FALSE,FALSE,38
"348","C57BL/6J-EarTag #18",133640,"C57BL/6J","+/+",155,"Body Weight",36200,"fasted","Control Diet",FALSE,FALSE,36.2
"349","C57BL/6J-EarTag #19",133640,"C57BL/6J","+/+",155,"Body Weight",39700,"fasted","Control Diet",FALSE,FALSE,39.7
"350","C57BL/6J-EarTag #20",133640,"C57BL/6J","+/+",155,"Body Weight",37600,"fasted","Control Diet",FALSE,FALSE,37.6
"351","C57BL/6J-EarTag #21",133640,"C57BL/6J","+/+",155,"Body Weight",34600,"fasted","Control Diet",FALSE,FALSE,34.6
"352","C57BL/6J-EarTag #11",133638,"C57BL/6J","+/+",155,"Body Weight",40700,"fasted","High Fat Diet",TRUE,FALSE,40.7
"353","C57BL/6J-EarTag #12",133638,"C57BL/6J","+/+",155,"Body Weight",44100,"fasted","High Fat Diet",TRUE,FALSE,44.1
"354","C57BL/6J-EarTag #15",133638,"C57BL/6J","+/+",155,"Body Weight",37300,"fasted","High Fat Diet",TRUE,FALSE,37.3
"355","C57BL/6J-EarTag #16",133638,"C57BL/6J","+/+",155,"Body Weight",42100,"fasted","High Fat Diet",TRUE,FALSE,42.1
"356","C57BL/6J-EarTag #22",133635,"C57BL/6J","+/+",155,"Body Weight",44900,"fasted","High Fat Diet",TRUE,FALSE,44.9
"357","C57BL/6J-EarTag #23",133635,"C57BL/6J","+/+",155,"Body Weight",43900,"fasted","High Fat Diet",TRUE,FALSE,43.9
"358","C57BL/6J-EarTag #24",133635,"C57BL/6J","+/+",155,"Body Weight",46300,"fasted","High Fat Diet",TRUE,FALSE,46.3
"359","C57BL/6J-EarTag #25",133635,"C57BL/6J","+/+",155,"Body Weight",43100,"fasted","High Fat Diet",TRUE,FALSE,43.1
"360","C57BL/6J-EarTag #40",133641,"C57BL/6J","+/+",155,"Body Weight",41600,"fasted","High Fat Diet",TRUE,FALSE,41.6
"361","C57BL/6J-EarTag #41",133641,"C57BL/6J","+/+",155,"Body Weight",44800,"fasted","High Fat Diet",TRUE,FALSE,44.8
"362","C57BL/6J-EarTag #42",133641,"C57BL/6J","+/+",155,"Body Weight",47000,"fasted","High Fat Diet",TRUE,FALSE,47
"363","C57BL/6J-EarTag #43",133641,"C57BL/6J","+/+",155,"Body Weight",46200,"fasted","High Fat Diet",TRUE,FALSE,46.2
"364","C57BL/6J-EarTag #44",133643,"C57BL/6J","+/+",155,"Body Weight",37800,"fasted","Control Diet",FALSE,FALSE,37.8
"365","C57BL/6J-EarTag #45",133643,"C57BL/6J","+/+",155,"Body Weight",44500,"fasted","Control Diet",FALSE,FALSE,44.5
"366","C57BL/6J-EarTag #46",133643,"C57BL/6J","+/+",155,"Body Weight",37200,"fasted","Control Diet",FALSE,FALSE,37.2
"367","C57BL/6J-EarTag #47",133643,"C57BL/6J","+/+",155,"Body Weight",30000,"fasted","Control Diet",FALSE,FALSE,30
"368","C57BL/6J-EarTag #48",133643,"C57BL/6J","+/+",155,"Body Weight",41700,"fasted","Control Diet",FALSE,FALSE,41.7
"369","C57BL/6J-EarTag #31",133636,"C57BL/6J","+/+",155,"Body Weight",43200,"fasted","High Fat Diet",TRUE,FALSE,43.2
"370","C57BL/6J-EarTag #32",133636,"C57BL/6J","+/+",155,"Body Weight",42300,"fasted","High Fat Diet",TRUE,FALSE,42.3
"371","C57BL/6J-EarTag #33",133636,"C57BL/6J","+/+",155,"Body Weight",35500,"fasted","High Fat Diet",TRUE,FALSE,35.5
"372","C57BL/6J-EarTag #34",133636,"C57BL/6J","+/+",155,"Body Weight",43800,"fasted","High Fat Diet",TRUE,FALSE,43.8
"373","C57BL/6J-EarTag #26",133642,"C57BL/6J","+/+",155,"Body Weight",32700,"fasted","Control Diet",FALSE,FALSE,32.7
"374","C57BL/6J-EarTag #27",133642,"C57BL/6J","+/+",155,"Body Weight",37300,"fasted","Control Diet",FALSE,FALSE,37.3
"375","C57BL/6J-EarTag #28",133642,"C57BL/6J","+/+",155,"Body Weight",35700,"fasted","Control Diet",FALSE,FALSE,35.7
"376","C57BL/6J-EarTag #29",133642,"C57BL/6J","+/+",155,"Body Weight",32700,"fasted","Control Diet",FALSE,FALSE,32.7
"377","C57BL/6J-EarTag #30",133642,"C57BL/6J","+/+",155,"Body Weight",32300,"fasted","Control Diet",FALSE,FALSE,32.3
"378","C57BL/6J-EarTag #35",133644,"C57BL/6J","+/+",155,"Body Weight",45600,"fasted","High Fat Diet",TRUE,FALSE,45.6
"379","C57BL/6J-EarTag #36",133644,"C57BL/6J","+/+",155,"Body Weight",41200,"fasted","High Fat Diet",TRUE,FALSE,41.2
"380","C57BL/6J-EarTag #37",133644,"C57BL/6J","+/+",155,"Body Weight",43100,"fasted","High Fat Diet",TRUE,FALSE,43.1
