"","Subject","Light.Dark","Fasting_stat","RER","SumXYAmb","VO2.LBM","Lean","Fat","Percent.Fat","Weight"
"87","2113","Light","Pre_fasting",0.839066306349206,842.063492063492,5.25389813171032,20.89,1.39,6.12334801762114,22.7
"88","2113","Light","After_fasting",0.8463007,161,4.04675268943089,20.5,1.27,5.66964285714286,22.4
"90","2113","Light","After_HFD",NA,NA,NA,24.45,14.73,36.825,40
"91","2114","Dark","Pre_fasting",0.860201147692308,2145.44615384615,5.78983784261276,20.13,1.79,7.95555555555556,22.5
"93","2114","Light","Pre_fasting",0.836139761904762,1148.96825396825,4.7953008664054,20.13,1.79,7.95555555555556,22.5
"94","2114","Light","After_fasting",0.7461361,11,3.2697207329105,18.92,1.19,5.72115384615385,20.8
"96","2114","Light","After_HFD",NA,NA,NA,23.84,13.97,36.0051546391753,38.8
"97","2115","Dark","Pre_fasting",0.643006401785714,1173.3125,7.42881072645349,21.5,1.91,8.02521008403361,23.8
"99","2115","Light","Pre_fasting",0.710990415178571,573.973214285714,4.55539945494186,21.5,1.91,8.02521008403361,23.8
"100","2115","Light","After_fasting",0.7452558,681,2.96856796175138,19.87,1.7,7.65765765765766,22.2
"102","2115","Light","After_HFD",NA,NA,NA,23.95,15.01,37.431421446384,40.1
"103","2116","Dark","Pre_fasting",0.858609630357143,1774.54464285714,5.36757963499056,22.7,1.99,7.8968253968254,25.2
"105","2116","Light","Pre_fasting",0.797682676785714,676.428571428571,4.46078721208307,22.7,1.99,7.8968253968254,25.2
"106","2116","Light","After_fasting",0.7378057,13,4.32224925503944,22.82,2.17,8.57707509881423,25.3
"108","2116","Light","After_HFD",NA,NA,NA,26.1,18.47,40.5934065934066,45.5
"109","2117","Dark","Pre_fasting",0.843392382142857,2885.27678571429,4.83841188824074,22.5,1.38,5.65573770491803,24.4
"111","2117","Light","Pre_fasting",0.79972729375,1490.44642857143,4.47388137093915,22.5,1.38,5.65573770491803,24.4
"112","2117","Light","After_fasting",0.7850713,2591,4.38676733236387,20.63,0.95,4.26008968609865,22.3
"114","2117","Light","After_HFD",NA,NA,NA,24.87,7.73,23.0059523809524,33.6
"115","2118","Dark","Pre_fasting",0.869588625663717,1845.38053097345,5.0182898904869,21.53,1.99,8.29166666666667,24
"117","2118","Light","Pre_fasting",0.788395709009009,768.900900900901,4.27861161512186,21.53,1.99,8.29166666666667,24
"118","2118","Light","After_fasting",0.7979873,1,2.53618127266733,20.22,1.45,6.44444444444444,22.5
"120","2118","Light","After_HFD",NA,NA,NA,24.58,12.37,32.5526315789474,38
"121","2119","Dark","Pre_fasting",0.874744233628319,1939.28318584071,5.60472931941372,19.2,1.85,8.6046511627907,21.5
"123","2119","Light","Pre_fasting",0.81162720990991,734.567567567568,4.98328009628378,19.2,1.85,8.6046511627907,21.5
"124","2119","Light","After_fasting",0.795051,3147,5.54134313226342,18.07,1.7,8.3743842364532,20.3
"126","2119","Light","After_HFD",NA,NA,NA,22.56,11.94,33.5393258426966,35.6
"127","2120","Dark","Pre_fasting",0.802073538392857,4103.60714285714,6.77690813475411,23.83,1.7,6.43939393939394,26.4
"129","2120","Light","Pre_fasting",0.792288780357143,1877.08928571429,5.40648185853916,23.83,1.7,6.43939393939394,26.4
"130","2120","Light","After_fasting",0.752461,0,3.5107944469766,21.94,1.12,4.74576271186441,23.6
"132","2120","Light","After_HFD",NA,NA,NA,27.78,16.42,36.0879120879121,45.5
"133","2121","Dark","Pre_fasting",0.871501240178571,1600.24107142857,4.99398323353293,21.71,1.62,6.75,24
"135","2121","Light","Pre_fasting",0.829525780357143,741.25,4.49589339071856,21.71,1.62,6.75,24
"137","2121","Light","After_fasting",NA,NA,NA,20.29,0.82,3.77880184331797,21.7
"138","2121","Light","After_HFD",NA,NA,NA,24.05,11.2,30.939226519337,36.2
"139","2122","Dark","Pre_fasting",0.830046576785714,1742.97321428571,6.12311168661695,20.93,2.45,10.2941176470588,23.8
"141","2122","Light","Pre_fasting",0.806385964285714,863.0625,5.64690000400997,20.93,2.45,10.2941176470588,23.8
"143","2122","Light","After_fasting",NA,NA,NA,20.93,2.1,8.86075949367089,23.7
"144","2122","Light","After_HFD",NA,NA,NA,25.3,18.14,40.6726457399103,44.6
"145","2123","Dark","Pre_fasting",0.842338198230088,2313.23008849558,6.99355948931953,18.81,1.64,7.92270531400966,20.7
"147","2123","Light","Pre_fasting",0.821981572072072,1055.09009009009,6.49624346566662,18.81,1.64,7.92270531400966,20.7
"149","2123","Light","After_fasting",NA,NA,NA,17.51,0.78,4.14893617021277,18.8
"150","2123","Light","After_HFD",NA,NA,NA,26.86,11.27,28.9717223650386,38.9
