"","Subject","Light.Dark","Fast","Avg.Percent.LL","Avg.Percent.FL","RER","SumXYAmb","VO2.LBM","Percent.WL","Percent.WG"
"1","1745","Dark","Bf_fasting",7.14285714285715,1.28013049950904,0.922469249206349,4459.04761904762,5.41064490671122,8.01526717557251,60.1659751037344
"3","1745","Light","After_fasting",7.14285714285715,1.28013049950904,1.05155866,0,0.289895528325086,8.01526717557251,60.1659751037344
"4","1745","Light","Bf_fasting",7.14285714285715,1.28013049950904,0.872929948387097,1181.90322580645,4.80345652172546,8.01526717557251,60.1659751037344
"6","1746","Dark","Bf_fasting",5.3735255570118,2.97610486401673,0.901881036507936,4488.61904761905,5.07733244613646,6.64062500000001,45.6066945606695
"8","1746","Light","After_fasting",5.3735255570118,2.97610486401673,0.8987603,0,0.285915709695291,6.64062500000001,45.6066945606695
"9","1746","Light","Bf_fasting",5.3735255570118,2.97610486401673,0.844406043548387,1344.14516129032,4.45707823891261,6.64062500000001,45.6066945606695
"11","1747","Dark","Bf_fasting",5.30066815144765,0.857417238942542,0.911658536507936,2550.49206349206,5.28567100354698,4.97925311203321,49.3449781659389
"13","1747","Light","After_fasting",5.30066815144765,0.857417238942542,1.041682775,0,0.286194447946065,4.97925311203321,49.3449781659389
"14","1747","Light","Bf_fasting",5.30066815144765,0.857417238942542,0.84844969516129,1406.90322580645,4.55437872404627,4.97925311203321,49.3449781659389
"16","1748","Dark","Bf_fasting",4.33333333333333,0.751773049645389,0.886395598412698,3238.50793650794,5.31593512043336,4.25531914893617,41.3333333333333
"18","1748","Light","After_fasting",4.33333333333333,0.751773049645389,0.904452414285714,0,0.296812467704852,4.25531914893617,41.3333333333333
"19","1748","Light","Bf_fasting",4.33333333333333,0.751773049645389,0.840520509677419,982.983870967742,4.40520084198669,4.25531914893617,41.3333333333333
"21","1749","Dark","Bf_fasting",2.15889464594128,-0.265279869477913,0.915436433333333,3435.36507936508,5.62972429841635,2.73437500000001,66.6666666666667
"23","1749","Light","After_fasting",2.15889464594128,-0.265279869477913,0.82726638,0,0.328920300088261,2.73437500000001,66.6666666666667
"24","1749","Light","Bf_fasting",2.15889464594128,-0.265279869477913,0.874264659677419,953.596774193548,4.69483691013427,2.73437500000001,66.6666666666667
"26","1750","Dark","Bf_fasting",3.90476190476191,-0.270175438596492,0.933364751612903,4793.11290322581,6.71489038095238,1.31578947368421,93.3333333333333
"28","1750","Light","After_fasting",3.90476190476191,-0.270175438596492,0.979390416666667,0,0.352071318136769,1.31578947368421,93.3333333333333
"29","1750","Light","Bf_fasting",3.90476190476191,-0.270175438596492,0.84791163968254,1277.22222222222,5.93093381043084,1.31578947368421,93.3333333333333
"31","1751","Dark","After_fasting",0.975359342915818,0.350734756840136,0.883293662992126,2566.74803149606,6.27278685794525,3.53982300884956,81.1926605504587
"32","1751","Dark","Bf_fasting",0.975359342915818,0.350734756840136,0.880312569354839,2666.72580645161,5.8670831567806,3.53982300884956,81.1926605504587
"34","1751","Light","After_fasting",0.975359342915818,0.350734756840136,0.833626380392157,428.039215686275,5.14451122044508,3.53982300884956,81.1926605504587
"35","1751","Light","Bf_fasting",0.975359342915818,0.350734756840136,0.827871798412698,1141.80952380952,5.39127106746303,3.53982300884956,81.1926605504587
"37","1752","Dark","After_fasting",4.0794979079498,2.16069186776399,0.90511337265625,1548.7421875,5.68822106648719,6.07476635514017,96.5174129353234
"38","1752","Dark","Bf_fasting",4.0794979079498,2.16069186776399,0.907493853225806,2117.43548387097,8.76979471504252,6.07476635514017,96.5174129353234
"40","1752","Light","After_fasting",4.0794979079498,2.16069186776399,0.835333143564356,314.237623762376,4.53921653675891,6.07476635514017,96.5174129353234
"41","1752","Light","Bf_fasting",4.0794979079498,2.16069186776399,0.850137279365079,571.825396825397,8.11528186640765,6.07476635514017,96.5174129353234
"43","1753","Dark","After_fasting",-0.62597809076681,0.589398817414725,0.9025489640625,1571.3203125,5.96669767668913,-0.921658986175112,63.4703196347032
"44","1753","Dark","Bf_fasting",-0.62597809076681,0.589398817414725,0.888203703225806,3837.62903225806,5.95441405640534,-0.921658986175112,63.4703196347032
"46","1753","Light","After_fasting",-0.62597809076681,0.589398817414725,0.829183752,448.83,5.25786804116122,-0.921658986175112,63.4703196347032
"47","1753","Light","Bf_fasting",-0.62597809076681,0.589398817414725,0.836854457142857,1056.50793650794,4.98897979360387,-0.921658986175112,63.4703196347032
"49","1754","Dark","After_fasting",1.50485436893205,0.00654839861888235,0.911548899212598,1207.38582677165,5.2739682080308,2.20264317180617,66.6666666666667
"50","1754","Dark","Bf_fasting",1.50485436893205,0.00654839861888235,0.893394887301587,4233.5873015873,5.23590484304207,2.20264317180617,66.6666666666667
"52","1754","Light","After_fasting",1.50485436893205,0.00654839861888235,0.82742820990099,439.792079207921,4.69769532818684,2.20264317180617,66.6666666666667
"53","1754","Light","Bf_fasting",1.50485436893205,0.00654839861888235,0.852759541935484,1007.37096774194,4.51626122560288,2.20264317180617,66.6666666666667
"55","1755","Dark","After_fasting",4.55349248452697,1.83410904255319,0.861750611904762,1113.61111111111,5.75365331599482,8.20312500000001,66.8085106382979
"56","1755","Dark","Bf_fasting",4.55349248452697,1.83410904255319,0.879780946031746,2869.95238095238,5.46700176928223,8.20312500000001,66.8085106382979
"58","1755","Light","After_fasting",4.55349248452697,1.83410904255319,0.840223890196078,315.176470588235,4.4353356749524,8.20312500000001,66.8085106382979
"59","1755","Light","Bf_fasting",4.55349248452697,1.83410904255319,0.858124420967742,1258.95161290323,4.50866458828898,8.20312500000001,66.8085106382979
"61","1756","Dark","After_fasting",10.3079555175364,2.39402722880984,0.6104251,0,0.245428884438086,11.0671936758893,94.6666666666667
"62","1756","Dark","Bf_fasting",10.3079555175364,2.39402722880984,0.853149996774194,4691.53225806452,4.58148797235023,11.0671936758893,94.6666666666667
"64","1756","Light","After_fasting",10.3079555175364,2.39402722880984,0.9172418,0,0.169238971864568,11.0671936758893,94.6666666666667
"65","1756","Light","Bf_fasting",10.3079555175364,2.39402722880984,0.873477817460317,1818.15873015873,3.77660453451374,11.0671936758893,94.6666666666667
"67","1757","Dark","Bf_fasting",7.44931636020746,2.90762688506516,0.855897369354839,4155.20967741936,5.58819434543454,6.43776824034335,91.2844036697248
"69","1757","Light","Bf_fasting",7.44931636020746,2.90762688506516,0.81367403442623,1372.78142076503,4.5278205854028,6.43776824034335,91.2844036697248
"71","1758","Dark","Bf_fasting",9.64302271673622,4.90476190476191,0.880299530645161,4773.9623655914,5.09102554628342,10.6382978723404,71.9047619047619
"73","1758","Light","Bf_fasting",9.64302271673622,4.90476190476191,0.866137758730159,2952.35978835979,4.62276396558026,10.6382978723404,71.9047619047619
"75","1759","Dark","Bf_fasting",10.9489051094891,1.76260162601626,0.892392066129032,2657.58064516129,5.35954218193234,8.88888888888889,65.8536585365854
"77","1759","Light","Bf_fasting",10.9489051094891,1.76260162601626,0.861713803174603,1021.93650793651,4.61517147877805,8.88888888888889,65.8536585365854
"79","1760","Dark","Bf_fasting",5.93886462882096,1.36906600762023,0.945983536507937,4068.75661375661,6.55511362292923,6.02409638554217,104.273504273504
"81","1760","Light","Bf_fasting",5.93886462882096,1.36906600762023,0.869447233870968,1573.04838709677,5.85107309243086,6.02409638554217,104.273504273504
"83","1761","Dark","Bf_fasting",7.05073086844368,2.27795301377183,0.917263115873016,4002.44444444444,5.98683458010891,6.42570281124497,102.575107296137
"85","1761","Light","Bf_fasting",7.05073086844368,2.27795301377183,0.887172362903226,1828.35483870968,5.30158858139406,6.42570281124497,102.575107296137
"87","1762","Dark","Bf_fasting",3.31877729257641,0.40249433106576,0.935154514285714,3019.80952380952,6.23131722707424,2.77777777777778,82.8571428571428
"89","1762","Light","Bf_fasting",3.31877729257641,0.40249433106576,0.893029924193548,1513.09677419355,5.59997065009156,2.77777777777778,82.8571428571428
"91","1763","Dark","Bf_fasting",5.08982035928143,1.49146981627297,0.888729771428571,3056.46031746032,5.06159745490878,5.51181102362204,53.75
"93","1763","Light","Bf_fasting",5.08982035928143,1.49146981627297,0.859182101612903,1980.51612903226,4.84034941432803,5.51181102362204,53.75
"95","1765","Dark","Bf_fasting",0.218914185639233,-0.121457489878543,0.9405817,4430.62903225806,6.96586430324087,0,70.0404858299595
"97","1765","Light","After_fasting",0.218914185639233,-0.121457489878543,0.901598566666667,1342,0.32305651065282,0,70.0404858299595
"98","1765","Light","Bf_fasting",0.218914185639233,-0.121457489878543,0.894732919047619,2078.2380952381,6.50134194581121,0,70.0404858299595
"100","1766","Dark","Bf_fasting",1.63432073544431,0.989800598423134,0.912135771428571,5325.37037037037,6.84605909879966,2.76497695852534,73.4597156398104
"102","1766","Light","After_fasting",1.63432073544431,0.989800598423134,0.928455228571429,769.571428571429,0.328167545962518,2.76497695852534,73.4597156398104
"103","1766","Light","Bf_fasting",1.63432073544431,0.989800598423134,0.87370340483871,2814.22043010753,6.50223482975826,2.76497695852534,73.4597156398104
"105","1767","Dark","After_fasting",3.64896073903002,-0.243502948241974,0.902302335433071,2336.47244094488,5.43483123613743,5.3941908713693,81.578947368421
"106","1767","Dark","Bf_fasting",3.64896073903002,-0.243502948241974,0.893950228571429,3471.01587301587,5.46148999044442,5.3941908713693,81.578947368421
"108","1767","Light","After_fasting",3.64896073903002,-0.243502948241974,0.864339583168317,822.653465346535,4.27692295621604,5.3941908713693,81.578947368421
"109","1767","Light","Bf_fasting",3.64896073903002,-0.243502948241974,0.84184365483871,1531.54838709677,4.53767472579404,5.3941908713693,81.578947368421
"111","1768","Dark","After_fasting",5.10295434198747,0.365684195129087,0.907179703125,2403.51822916667,5.31046230812697,6.61157024793388,80.9734513274336
"112","1768","Dark","Bf_fasting",5.10295434198747,0.365684195129087,0.925484880645161,3376.93548387097,5.88666948672038,6.61157024793388,80.9734513274336
"114","1768","Light","After_fasting",5.10295434198747,0.365684195129087,0.853139423762376,1089.87128712871,4.71197068425338,6.61157024793388,80.9734513274336
"115","1768","Light","Bf_fasting",5.10295434198747,0.365684195129087,0.857043322222222,1891.96825396825,5.31359173823971,6.61157024793388,80.9734513274336
"117","1769","Dark","After_fasting",5.41850220264317,2.15249662618084,0.9367123953125,1998.49479166667,5.60532692088525,7.69230769230769,74.5614035087719
"118","1769","Dark","Bf_fasting",5.41850220264317,2.15249662618084,0.917750625806452,3990.88709677419,5.83254955591872,7.69230769230769,74.5614035087719
"120","1769","Light","After_fasting",5.41850220264317,2.15249662618084,0.817801367326733,485.316831683168,4.23534229137595,7.69230769230769,74.5614035087719
"121","1769","Light","Bf_fasting",5.41850220264317,2.15249662618084,0.841560819047619,2025.50793650794,5.2976231346759,7.69230769230769,74.5614035087719
