"","Correlation Coefficient","R-Squared","P-Value"
"Normal Chow Diet",0.20067139771684,0.04026900986163,0.0886976725082244
"Control Diet",-0.0596847672338613,0.00356227143976021,0.733419750407361
"High Fat Diet",0.347759190891482,0.120936454849498,0.0884909232551551
