"","Subject","Fast","Light.Dark","Avg.Percent.LL","Avg.Percent.FL","RER","SumXYAmb","VO2.LBM","Percent.WL","Percent.WG"
"1","1745","After_fasting","Light",7.14285714285715,1.28013049950904,1.05155866,0,0.289895528325086,8.01526717557251,60.1659751037344
"6","1746","After_fasting","Light",5.3735255570118,2.97610486401673,0.8987603,0,0.285915709695291,6.64062500000001,45.6066945606695
"11","1747","After_fasting","Light",5.30066815144765,0.857417238942542,1.041682775,0,0.286194447946065,4.97925311203321,49.3449781659389
"16","1748","After_fasting","Light",4.33333333333333,0.751773049645389,0.904452414285714,0,0.296812467704852,4.25531914893617,41.3333333333333
"21","1749","After_fasting","Light",2.15889464594128,-0.265279869477913,0.82726638,0,0.328920300088261,2.73437500000001,66.6666666666667
"26","1750","After_fasting","Light",3.90476190476191,-0.270175438596492,0.979390416666667,0,0.352071318136769,1.31578947368421,93.3333333333333
"31","1751","After_fasting","Dark",0.975359342915818,0.350734756840136,0.883293662992126,2566.74803149606,6.27278685794525,3.53982300884956,81.1926605504587
"32","1751","After_fasting","Light",0.975359342915818,0.350734756840136,0.833626380392157,428.039215686275,5.14451122044508,3.53982300884956,81.1926605504587
"37","1752","After_fasting","Dark",4.0794979079498,2.16069186776399,0.90511337265625,1548.7421875,5.68822106648719,6.07476635514017,96.5174129353234
"38","1752","After_fasting","Light",4.0794979079498,2.16069186776399,0.835333143564356,314.237623762376,4.53921653675891,6.07476635514017,96.5174129353234
"43","1753","After_fasting","Dark",-0.62597809076681,0.589398817414725,0.9025489640625,1571.3203125,5.96669767668913,-0.921658986175112,63.4703196347032
"44","1753","After_fasting","Light",-0.62597809076681,0.589398817414725,0.829183752,448.83,5.25786804116122,-0.921658986175112,63.4703196347032
"49","1754","After_fasting","Dark",1.50485436893205,0.00654839861888235,0.911548899212598,1207.38582677165,5.2739682080308,2.20264317180617,66.6666666666667
"50","1754","After_fasting","Light",1.50485436893205,0.00654839861888235,0.82742820990099,439.792079207921,4.69769532818684,2.20264317180617,66.6666666666667
"55","1755","After_fasting","Dark",4.55349248452697,1.83410904255319,0.861750611904762,1113.61111111111,5.75365331599482,8.20312500000001,66.8085106382979
"56","1755","After_fasting","Light",4.55349248452697,1.83410904255319,0.840223890196078,315.176470588235,4.4353356749524,8.20312500000001,66.8085106382979
"61","1756","After_fasting","Dark",10.3079555175364,2.39402722880984,0.6104251,0,0.245428884438086,11.0671936758893,94.6666666666667
"62","1756","After_fasting","Light",10.3079555175364,2.39402722880984,0.9172418,0,0.169238971864568,11.0671936758893,94.6666666666667
"95","1765","After_fasting","Light",0.218914185639233,-0.121457489878543,0.901598566666667,0,0.32305651065282,0,70.0404858299595
"100","1766","After_fasting","Light",1.63432073544431,0.989800598423134,0.928455228571429,0,0.328167545962518,2.76497695852534,73.4597156398104
"105","1767","After_fasting","Dark",3.64896073903002,-0.243502948241974,0.902302335433071,2338.81102362205,5.43483123613743,5.3941908713693,81.578947368421
"106","1767","After_fasting","Light",3.64896073903002,-0.243502948241974,0.864339583168317,772.049504950495,4.27692295621604,5.3941908713693,81.578947368421
"111","1768","After_fasting","Dark",5.10295434198747,0.365684195129087,0.907179703125,2436.078125,5.31046230812697,6.61157024793388,80.9734513274336
"112","1768","After_fasting","Light",5.10295434198747,0.365684195129087,0.853139423762376,1005.80198019802,4.71197068425338,6.61157024793388,80.9734513274336
"117","1769","After_fasting","Dark",5.41850220264317,2.15249662618084,0.9367123953125,2016.84375,5.60532692088525,7.69230769230769,74.5614035087719
"118","1769","After_fasting","Light",5.41850220264317,2.15249662618084,0.817801367326733,463.861386138614,4.23534229137595,7.69230769230769,74.5614035087719
