"","animal.MouseID","Fasting_stat","Body Weight","Total Fat Mass","Lean Mass","Grip Strength (4 Paw)","Lean","Fat","Weight","Percent.Fat","Subject"
"53","2116","After_HFD","45500","18470","26100","2790,2500,2560,2430,2140",26.1,18.47,45.5,40.5934065934066,"2116"
"54","2116","Pre_fasting","25200","1990","22700",NA,22.7,1.99,25.2,7.8968253968254,"2116"
"55","2117","After_fasting","22300","950","20630",NA,20.63,0.95,22.3,4.26008968609865,"2117"
"56","2117","After_HFD","33600","7730","24870","1910,2020,2020,2200,1860",24.87,7.73,33.6,23.0059523809524,"2117"
"57","2117","Pre_fasting","24400","1380","22500",NA,22.5,1.38,24.4,5.65573770491803,"2117"
"58","2118","After_fasting","22500","1450","20220",NA,20.22,1.45,22.5,6.44444444444444,"2118"
"59","2118","After_HFD","38000","12370","24580","2590,2060,2490,2050,2390",24.58,12.37,38,32.5526315789474,"2118"
"60","2118","Pre_fasting","24000","1990","21530",NA,21.53,1.99,24,8.29166666666667,"2118"
"61","2119","After_fasting","20300","1700","18070",NA,18.07,1.7,20.3,8.3743842364532,"2119"
"62","2119","Pre_fasting","21500","1850","19200",NA,19.2,1.85,21.5,8.6046511627907,"2119"
"63","2128","After_fasting","22800","1090","21240",NA,21.24,1.09,22.8,4.78070175438596,"2128"
"64","2128","After_HFD","33900","7110","25900","3520,3370,2910,2910,2400",25.9,7.11,33.9,20.9734513274336,"2128"
"65","2128","Pre_fasting","23200","1250","21620",NA,21.62,1.25,23.2,5.38793103448276,"2128"
