"","Correlation Coefficient","R-Squared","P-Value"
"Normal Chow Diet",-0.15369064593634,0.0236208146483293,0.194219522540871
"Control Diet",-0.30837129737495,0.0950928570447099,0.0714977700148401
"High Fat Diet",-0.0284615384615385,0.000810059171597633,0.893174893570786
