"","X.1","ensembl_transcript_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","gene_biotype","external_gene_name","ensembl_gene_id"
"1",1,"ENSMUST00000000001",2000.25485225984,-0.0165929298722681,0.280456008097656,0.00350327915703019,0.95280196505137,1,18802,"protein_coding","Gnai3","ENSMUSG00000000001"
"2",2,"ENSMUST00000000003",0,NA,NA,NA,NA,NA,21322,"protein_coding","Pbsn","ENSMUSG00000000003"
"3",3,"ENSMUST00000000010",606.247628975941,0.316771731790612,1.20348792782457,0.0671364893870532,0.795552606646592,1,51402,"protein_coding","Hoxb9","ENSMUSG00000020875"
"4",4,"ENSMUST00000000028",57.9823976472537,0.656413552399903,0.615548706672061,1.12074402809984,0.289758301856844,1,40400,"protein_coding","Cdc45","ENSMUSG00000000028"
"5",5,"ENSMUST00000000033",75.9583162484739,-0.556508799996015,0.628462827073949,0.717729324099537,0.39688974352493,1,108425,"protein_coding","Igf2","ENSMUSG00000048583"
"6",6,"ENSMUST00000000049",4005.60457321553,1.73014216874412,1.4145534140779,1.1340326366398,NA,NA,69335,"protein_coding","Apoh","ENSMUSG00000000049"
"7",7,"ENSMUST00000000058",2361.42736443247,0.0593141386068014,0.639178179122025,0.00509714630493363,0.943083944680752,1,53918,"protein_coding","Cav2","ENSMUSG00000000058"
"8",8,"ENSMUST00000000080",960.234902947341,-0.172825935233319,0.430528289292591,0.13002955372491,0.718401398569956,1,19077,"protein_coding","Klf6","ENSMUSG00000000078"
"9",9,"ENSMUST00000000087",669.063375997898,0.0979742041641065,0.343410953484989,0.0806444862889748,0.776425915582403,1,48598,"protein_coding","Scmh1","ENSMUSG00000000085"
"10",10,"ENSMUST00000000090",1096.54210019718,0.616270794712838,0.315969260577658,3.81058638869621,0.050929617604726,1,8692,"protein_coding","Cox5a","ENSMUSG00000000088"
"24594",24594,"ENSMUST00000109566",861.777475939374,0.00281004037069889,0.368544018697156,5.70814140132825e-05,0.993971860537893,1,105795,"protein_coding","Dlgap4","ENSMUSG00000061689"
"12",12,"ENSMUST00000000095",2065.38402135705,-0.0280646008591919,0.623916632703616,0.0019737012682981,0.964564551891763,1,97156,"protein_coding","Tbx2","ENSMUSG00000000093"
"23643",23643,"ENSMUST00000108045",6.79426195055305,0.388473296715613,0.585546773649416,0.442545629028757,0.505896340844373,1,98969,"protein_coding","Tbx4","ENSMUSG00000000094"
"13846",13846,"ENSMUST00000068378",11.0057324373047,1.72081406416845,2.37338083210881,0.1483675258918,NA,NA,85351,"protein_coding","Cntn1","ENSMUSG00000055022"
"15",15,"ENSMUST00000000122",77.0932248044326,0.483883079637274,0.493332276924676,0.875585221510448,0.349413709531986,1,102437,"protein_coding","Ngfr","ENSMUSG00000000120"
"16",16,"ENSMUST00000000127",65.4013324395868,1.83597450640639,1.26941741287911,0.764788932156819,NA,NA,50994,"protein_coding","Wnt3","ENSMUSG00000000125"
"24139",24139,"ENSMUST00000108783",124.439610767191,-0.127722388276747,0.312124185071328,0.166243468703868,0.683472165888881,1,81613,"protein_coding","Wnt9a","ENSMUSG00000000126"
