Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/17/2014 5:23:13 PM,Light,10/17/2014 5:22:58 PM,10/17/2014 5:23:02 PM,4,-0.07,-0.07,
1,2,10/17/2014 5:25:56 PM,Light,10/17/2014 5:23:36 PM,10/17/2014 5:25:45 PM,129,0.15,0.08,
1,3,10/17/2014 5:28:28 PM,Light,10/17/2014 5:25:56 PM,10/17/2014 5:28:17 PM,141,-0.09,-0.01,
1,4,10/17/2014 5:30:31 PM,Light,10/17/2014 5:29:51 PM,10/17/2014 5:30:21 PM,30,-0.06,-0.07,
1,5,10/17/2014 5:32:10 PM,Light,10/17/2014 5:30:37 PM,10/17/2014 5:31:59 PM,82,0.06,-0.01,
1,6,10/17/2014 5:42:11 PM,Light,10/17/2014 5:40:32 PM,10/17/2014 5:42:00 PM,88,0.04,0.03,
1,7,10/17/2014 5:44:02 PM,Light,10/17/2014 5:43:48 PM,10/17/2014 5:43:51 PM,3,0.19,0.22,
3,8,10/17/2014 6:32:33 PM,Light,10/17/2014 6:30:10 PM,10/17/2014 6:32:23 PM,133,0.08,0.30,
3,9,10/17/2014 6:44:46 PM,Light,10/17/2014 6:43:25 PM,10/17/2014 6:44:35 PM,70,-0.05,0.25,
3,10,10/17/2014 6:46:26 PM,Light,10/17/2014 6:44:49 PM,10/17/2014 6:46:16 PM,87,-0.08,0.17,
4,11,10/17/2014 7:03:31 PM,Dark,10/17/2014 7:03:02 PM,10/17/2014 7:03:20 PM,18,0.07,0.24,
4,12,10/17/2014 7:09:56 PM,Dark,10/17/2014 7:09:30 PM,10/17/2014 7:09:46 PM,16,0.12,0.36,
4,13,10/17/2014 7:23:34 PM,Dark,10/17/2014 7:20:44 PM,10/17/2014 7:23:23 PM,159,0.09,0.45,
4,14,10/17/2014 7:28:18 PM,Dark,10/17/2014 7:28:03 PM,10/17/2014 7:28:07 PM,4,0.17,0.62,
4,15,10/17/2014 7:32:47 PM,Dark,10/17/2014 7:32:12 PM,10/17/2014 7:32:36 PM,24,0.27,0.89,
5,16,10/17/2014 7:37:55 PM,Dark,10/17/2014 7:35:56 PM,10/17/2014 7:37:44 PM,108,-0.10,0.79,
5,17,10/17/2014 7:39:28 PM,Dark,10/17/2014 7:39:08 PM,10/17/2014 7:39:18 PM,10,0.07,0.86,
5,18,10/17/2014 7:40:49 PM,Dark,10/17/2014 7:40:16 PM,10/17/2014 7:40:38 PM,22,0.04,0.90,
5,19,10/17/2014 7:46:58 PM,Dark,10/17/2014 7:46:40 PM,10/17/2014 7:46:47 PM,7,0.14,1.05,
5,20,10/17/2014 7:50:48 PM,Dark,10/17/2014 7:48:56 PM,10/17/2014 7:50:38 PM,102,0.06,1.11,
5,21,10/17/2014 7:51:35 PM,Dark,10/17/2014 7:51:08 PM,10/17/2014 7:51:24 PM,16,-0.22,0.89,
5,22,10/17/2014 7:56:23 PM,Dark,10/17/2014 7:56:09 PM,10/17/2014 7:56:13 PM,4,0.26,1.15,
5,23,10/17/2014 8:01:47 PM,Dark,10/17/2014 8:00:55 PM,10/17/2014 8:01:36 PM,41,0.17,1.32,
5,24,10/17/2014 8:07:02 PM,Dark,10/17/2014 8:06:42 PM,10/17/2014 8:06:51 PM,9,0.12,1.43,
6,25,10/17/2014 8:13:18 PM,Dark,10/17/2014 8:12:17 PM,10/17/2014 8:13:07 PM,50,-0.20,1.24,
6,26,10/17/2014 8:13:41 PM,Dark,10/17/2014 8:13:28 PM,10/17/2014 8:13:31 PM,3,0.14,1.38,
6,27,10/17/2014 8:19:00 PM,Dark,10/17/2014 8:17:00 PM,10/17/2014 8:18:49 PM,109,0.08,1.46,
6,28,10/17/2014 8:27:35 PM,Dark,10/17/2014 8:25:53 PM,10/17/2014 8:27:24 PM,91,0.05,1.51,
6,29,10/17/2014 8:38:33 PM,Dark,10/17/2014 8:36:47 PM,10/17/2014 8:38:22 PM,95,0.06,1.57,
7,30,10/17/2014 8:43:29 PM,Dark,10/17/2014 8:43:05 PM,10/17/2014 8:43:19 PM,14,0.21,1.78,
7,31,10/17/2014 8:45:09 PM,Dark,10/17/2014 8:43:45 PM,10/17/2014 8:44:58 PM,73,-0.20,1.58,
7,32,10/17/2014 8:59:56 PM,Dark,10/17/2014 8:57:34 PM,10/17/2014 8:59:46 PM,132,0.09,1.67,
7,33,10/17/2014 9:16:42 PM,Dark,10/17/2014 9:14:54 PM,10/17/2014 9:16:31 PM,97,0.04,1.71,
8,34,10/17/2014 9:30:01 PM,Dark,10/17/2014 9:29:27 PM,10/17/2014 9:29:51 PM,24,0.29,2.01,
8,35,10/17/2014 9:39:56 PM,Dark,10/17/2014 9:39:42 PM,10/17/2014 9:39:45 PM,3,0.29,2.30,
8,36,10/17/2014 9:40:38 PM,Dark,10/17/2014 9:40:22 PM,10/17/2014 9:40:27 PM,5,-0.11,2.19,
8,37,10/17/2014 9:44:01 PM,Dark,10/17/2014 9:42:36 PM,10/17/2014 9:43:50 PM,74,0.20,2.39,
8,38,10/17/2014 9:46:01 PM,Dark,10/17/2014 9:45:33 PM,10/17/2014 9:45:50 PM,17,-0.04,2.35,
8,39,10/17/2014 9:47:20 PM,Dark,10/17/2014 9:47:06 PM,10/17/2014 9:47:09 PM,3,-0.09,2.27,
8,40,10/17/2014 9:50:28 PM,Dark,10/17/2014 9:50:10 PM,10/17/2014 9:50:18 PM,8,-0.06,2.21,
9,41,10/17/2014 9:53:35 PM,Dark,10/17/2014 9:53:12 PM,10/17/2014 9:53:24 PM,12,-0.10,2.11,
9,42,10/17/2014 9:56:32 PM,Dark,10/17/2014 9:56:17 PM,10/17/2014 9:56:22 PM,5,0.17,2.28,
9,43,10/17/2014 9:58:35 PM,Dark,10/17/2014 9:58:01 PM,10/17/2014 9:58:25 PM,24,-0.21,2.07,
9,44,10/17/2014 10:01:26 PM,Dark,10/17/2014 10:00:59 PM,10/17/2014 10:01:16 PM,17,0.18,2.25,
9,45,10/17/2014 10:12:35 PM,Dark,10/17/2014 10:10:41 PM,10/17/2014 10:12:25 PM,104,-0.07,2.18,
9,46,10/17/2014 10:17:50 PM,Dark,10/17/2014 10:17:20 PM,10/17/2014 10:17:39 PM,19,0.06,2.24,
9,47,10/17/2014 10:19:53 PM,Dark,10/17/2014 10:19:18 PM,10/17/2014 10:19:43 PM,25,0.07,2.31,
10,48,10/17/2014 10:26:08 PM,Dark,10/17/2014 10:23:49 PM,10/17/2014 10:25:57 PM,128,0.26,2.57,
10,49,10/17/2014 10:27:48 PM,Dark,10/17/2014 10:27:05 PM,10/17/2014 10:27:38 PM,33,-0.06,2.51,
12,50,10/17/2014 11:58:03 PM,Dark,10/17/2014 11:54:54 PM,10/17/2014 11:57:52 PM,178,0.16,2.66,
13,51,10/18/2014 12:10:57 AM,Dark,10/18/2014 12:10:30 AM,10/18/2014 12:10:46 AM,16,0.21,2.88,
13,52,10/18/2014 12:16:45 AM,Dark,10/18/2014 12:12:49 AM,10/18/2014 12:16:34 AM,225,0.93,3.81,
13,53,10/18/2014 12:18:31 AM,Dark,10/18/2014 12:17:36 AM,10/18/2014 12:18:21 AM,45,-0.19,3.61,
14,54,10/18/2014 12:42:57 AM,Dark,10/18/2014 12:42:15 AM,10/18/2014 12:42:46 AM,31,0.06,3.67,
14,55,10/18/2014 12:50:20 AM,Dark,10/18/2014 12:48:16 AM,10/18/2014 12:50:08 AM,112,0.24,3.91,
14,56,10/18/2014 12:51:25 AM,Dark,10/18/2014 12:51:09 AM,10/18/2014 12:51:14 AM,5,-0.18,3.74,
14,57,10/18/2014 12:56:36 AM,Dark,10/18/2014 12:54:11 AM,10/18/2014 12:56:25 AM,134,0.10,3.84,
14,58,10/18/2014 1:04:24 AM,Dark,10/18/2014 1:03:55 AM,10/18/2014 1:04:13 AM,18,0.19,4.02,
14,59,10/18/2014 1:06:38 AM,Dark,10/18/2014 1:06:07 AM,10/18/2014 1:06:27 AM,20,-0.20,3.82,
14,60,10/18/2014 1:10:50 AM,Dark,10/18/2014 1:10:18 AM,10/18/2014 1:10:40 AM,22,0.18,4.00,
16,61,10/18/2014 2:20:06 AM,Dark,10/18/2014 2:19:50 AM,10/18/2014 2:19:55 AM,5,0.18,4.18,
17,62,10/18/2014 2:26:38 AM,Dark,10/18/2014 2:26:24 AM,10/18/2014 2:26:27 AM,3,-0.10,4.08,
19,63,10/18/2014 3:32:48 AM,Dark,10/18/2014 3:27:01 AM,10/18/2014 3:32:37 AM,336,0.16,4.24,
