Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/17/2014 5:25:47 PM,Light,10/17/2014 5:25:24 PM,10/17/2014 5:25:36 PM,12,-0.13,-0.13,
1,2,10/17/2014 5:27:59 PM,Light,10/17/2014 5:27:13 PM,10/17/2014 5:27:49 PM,36,-0.26,-0.39,
1,3,10/17/2014 5:29:21 PM,Light,10/17/2014 5:28:55 PM,10/17/2014 5:29:10 PM,15,0.15,-0.24,
1,4,10/17/2014 5:44:04 PM,Light,10/17/2014 5:43:47 PM,10/17/2014 5:43:53 PM,6,-0.04,-0.28,
1,5,10/17/2014 5:47:59 PM,Light,10/17/2014 5:47:42 PM,10/17/2014 5:47:48 PM,6,0.14,-0.14,
1,6,10/17/2014 5:50:58 PM,Light,10/17/2014 5:50:43 PM,10/17/2014 5:50:47 PM,4,-0.11,-0.25,
2,7,10/17/2014 6:09:48 PM,Light,10/17/2014 6:09:27 PM,10/17/2014 6:09:37 PM,10,0.19,-0.06,
2,8,10/17/2014 6:10:47 PM,Light,10/17/2014 6:10:28 PM,10/17/2014 6:10:36 PM,8,-0.07,-0.13,
2,9,10/17/2014 6:15:00 PM,Light,10/17/2014 6:13:49 PM,10/17/2014 6:14:50 PM,61,-0.05,-0.17,
2,10,10/17/2014 6:20:19 PM,Light,10/17/2014 6:17:59 PM,10/17/2014 6:20:09 PM,130,0.12,-0.05,
2,11,10/17/2014 6:25:22 PM,Light,10/17/2014 6:25:09 PM,10/17/2014 6:25:11 PM,2,0.05,0.00,
3,12,10/17/2014 6:33:24 PM,Light,10/17/2014 6:31:50 PM,10/17/2014 6:33:13 PM,83,0.27,0.27,
3,13,10/17/2014 6:38:46 PM,Light,10/17/2014 6:38:08 PM,10/17/2014 6:38:35 PM,27,0.15,0.42,
3,14,10/17/2014 6:39:56 PM,Light,10/17/2014 6:39:04 PM,10/17/2014 6:39:45 PM,41,-0.03,0.39,
3,15,10/17/2014 6:40:39 PM,Light,10/17/2014 6:40:08 PM,10/17/2014 6:40:28 PM,20,-0.07,0.31,
3,16,10/17/2014 6:43:33 PM,Light,10/17/2014 6:42:29 PM,10/17/2014 6:43:23 PM,54,0.06,0.37,
3,17,10/17/2014 6:44:19 PM,Light,10/17/2014 6:43:49 PM,10/17/2014 6:44:09 PM,20,0.09,0.46,
3,18,10/17/2014 6:50:42 PM,Light,10/17/2014 6:47:01 PM,10/17/2014 6:50:31 PM,210,-0.04,0.42,
3,19,10/17/2014 6:51:52 PM,Light,10/17/2014 6:51:36 PM,10/17/2014 6:51:42 PM,6,0.21,0.64,
3,20,10/17/2014 6:53:12 PM,Light,10/17/2014 6:52:42 PM,10/17/2014 6:53:02 PM,20,-0.51,0.12,
3,21,10/17/2014 6:55:09 PM,Light,10/17/2014 6:54:28 PM,10/17/2014 6:54:59 PM,31,-0.30,-0.17,
3,22,10/17/2014 6:55:28 PM,Light,10/17/2014 6:55:12 PM,10/17/2014 6:55:18 PM,6,0.14,-0.04,
3,23,10/17/2014 6:56:44 PM,Light,10/17/2014 6:56:22 PM,10/17/2014 6:56:33 PM,11,0.26,0.23,
3,24,10/17/2014 7:00:37 PM,Light,10/17/2014 6:59:21 PM,10/17/2014 7:00:27 PM,66,0.05,0.28,
4,25,10/17/2014 7:02:39 PM,Dark,10/17/2014 7:02:16 PM,10/17/2014 7:02:28 PM,12,0.12,0.40,
4,26,10/17/2014 7:03:55 PM,Dark,10/17/2014 7:03:29 PM,10/17/2014 7:03:45 PM,16,0.24,0.64,
4,27,10/17/2014 7:08:20 PM,Dark,10/17/2014 7:07:57 PM,10/17/2014 7:08:09 PM,12,-0.33,0.31,
4,28,10/17/2014 7:14:07 PM,Dark,10/17/2014 7:09:30 PM,10/17/2014 7:13:57 PM,267,-0.21,0.10,
4,29,10/17/2014 7:14:39 PM,Dark,10/17/2014 7:14:23 PM,10/17/2014 7:14:28 PM,5,-0.14,-0.04,
4,30,10/17/2014 7:16:11 PM,Dark,10/17/2014 7:15:58 PM,10/17/2014 7:16:00 PM,2,-0.17,-0.21,
4,31,10/17/2014 7:20:02 PM,Dark,10/17/2014 7:19:40 PM,10/17/2014 7:19:51 PM,11,0.11,-0.11,
4,32,10/17/2014 7:24:15 PM,Dark,10/17/2014 7:22:26 PM,10/17/2014 7:24:05 PM,99,0.25,0.14,
4,33,10/17/2014 7:24:39 PM,Dark,10/17/2014 7:24:16 PM,10/17/2014 7:24:29 PM,13,-0.08,0.06,
4,34,10/17/2014 7:28:32 PM,Dark,10/17/2014 7:26:41 PM,10/17/2014 7:28:22 PM,101,0.08,0.14,
4,35,10/17/2014 7:30:07 PM,Dark,10/17/2014 7:29:44 PM,10/17/2014 7:29:56 PM,12,-0.11,0.03,
5,36,10/17/2014 7:36:27 PM,Dark,10/17/2014 7:35:46 PM,10/17/2014 7:36:16 PM,30,-0.16,-0.13,
5,37,10/17/2014 7:39:47 PM,Dark,10/17/2014 7:39:08 PM,10/17/2014 7:39:37 PM,29,0.12,0.00,
5,38,10/17/2014 7:40:10 PM,Dark,10/17/2014 7:39:51 PM,10/17/2014 7:39:59 PM,8,-0.06,-0.06,
5,39,10/17/2014 7:48:52 PM,Dark,10/17/2014 7:47:27 PM,10/17/2014 7:48:41 PM,74,0.28,0.22,
5,40,10/17/2014 7:51:26 PM,Dark,10/17/2014 7:49:08 PM,10/17/2014 7:51:16 PM,128,0.08,0.30,
5,41,10/17/2014 7:56:01 PM,Dark,10/17/2014 7:51:37 PM,10/17/2014 7:55:50 PM,253,0.12,0.42,
5,42,10/17/2014 7:58:07 PM,Dark,10/17/2014 7:57:48 PM,10/17/2014 7:57:56 PM,8,0.25,0.67,
5,43,10/17/2014 7:59:21 PM,Dark,10/17/2014 7:58:54 PM,10/17/2014 7:59:10 PM,16,-0.06,0.62,
5,44,10/17/2014 8:00:13 PM,Dark,10/17/2014 7:59:58 PM,10/17/2014 8:00:03 PM,5,-0.07,0.55,
5,45,10/17/2014 8:01:39 PM,Dark,10/17/2014 8:00:23 PM,10/17/2014 8:01:28 PM,65,-0.11,0.44,
6,46,10/17/2014 8:10:16 PM,Dark,10/17/2014 8:07:16 PM,10/17/2014 8:10:06 PM,170,0.14,0.58,
6,47,10/17/2014 8:11:50 PM,Dark,10/17/2014 8:11:29 PM,10/17/2014 8:11:40 PM,11,0.07,0.65,
6,48,10/17/2014 8:21:29 PM,Dark,10/17/2014 8:20:56 PM,10/17/2014 8:21:18 PM,22,-0.17,0.48,
6,49,10/17/2014 8:29:10 PM,Dark,10/17/2014 8:24:36 PM,10/17/2014 8:29:00 PM,264,-0.06,0.41,
6,50,10/17/2014 8:30:03 PM,Dark,10/17/2014 8:29:39 PM,10/17/2014 8:29:52 PM,13,-0.10,0.31,
6,51,10/17/2014 8:31:25 PM,Dark,10/17/2014 8:30:56 PM,10/17/2014 8:31:15 PM,19,-0.06,0.25,
6,52,10/17/2014 8:37:19 PM,Dark,10/17/2014 8:36:51 PM,10/17/2014 8:37:09 PM,18,0.08,0.33,
6,53,10/17/2014 8:39:36 PM,Dark,10/17/2014 8:39:13 PM,10/17/2014 8:39:25 PM,12,0.23,0.56,
6,54,10/17/2014 8:40:12 PM,Dark,10/17/2014 8:39:46 PM,10/17/2014 8:40:02 PM,16,0.09,0.65,
6,55,10/17/2014 8:40:54 PM,Dark,10/17/2014 8:40:40 PM,10/17/2014 8:40:44 PM,4,-0.33,0.33,
7,56,10/17/2014 8:45:01 PM,Dark,10/17/2014 8:42:56 PM,10/17/2014 8:44:50 PM,114,0.07,0.40,
7,57,10/17/2014 8:46:23 PM,Dark,10/17/2014 8:46:08 PM,10/17/2014 8:46:12 PM,4,-0.11,0.29,
7,58,10/17/2014 8:47:17 PM,Dark,10/17/2014 8:47:03 PM,10/17/2014 8:47:06 PM,3,-0.04,0.25,
7,59,10/17/2014 8:47:47 PM,Dark,10/17/2014 8:47:34 PM,10/17/2014 8:47:36 PM,2,-0.13,0.12,
7,60,10/17/2014 8:48:35 PM,Dark,10/17/2014 8:48:21 PM,10/17/2014 8:48:24 PM,3,0.09,0.20,
7,61,10/17/2014 8:49:00 PM,Dark,10/17/2014 8:48:41 PM,10/17/2014 8:48:50 PM,9,-0.06,0.14,
7,62,10/17/2014 8:49:51 PM,Dark,10/17/2014 8:49:12 PM,10/17/2014 8:49:40 PM,28,0.15,0.28,
7,63,10/17/2014 9:00:38 PM,Dark,10/17/2014 9:00:21 PM,10/17/2014 9:00:28 PM,7,-0.20,0.09,
7,64,10/17/2014 9:02:54 PM,Dark,10/17/2014 9:02:26 PM,10/17/2014 9:02:44 PM,18,-0.08,0.01,
7,65,10/17/2014 9:04:13 PM,Dark,10/17/2014 9:04:01 PM,10/17/2014 9:04:03 PM,2,-0.07,-0.05,
7,66,10/17/2014 9:05:15 PM,Dark,10/17/2014 9:04:57 PM,10/17/2014 9:05:04 PM,7,-0.04,-0.09,
7,67,10/17/2014 9:06:51 PM,Dark,10/17/2014 9:06:33 PM,10/17/2014 9:06:41 PM,8,0.09,0.00,
7,68,10/17/2014 9:09:15 PM,Dark,10/17/2014 9:07:14 PM,10/17/2014 9:09:05 PM,111,0.04,0.04,
7,69,10/17/2014 9:10:20 PM,Dark,10/17/2014 9:09:18 PM,10/17/2014 9:10:09 PM,51,0.16,0.20,
8,70,10/17/2014 9:29:32 PM,Dark,10/17/2014 9:29:07 PM,10/17/2014 9:29:21 PM,14,-0.14,0.06,
8,71,10/17/2014 9:30:07 PM,Dark,10/17/2014 9:29:49 PM,10/17/2014 9:29:56 PM,7,0.08,0.13,
8,72,10/17/2014 9:33:06 PM,Dark,10/17/2014 9:32:43 PM,10/17/2014 9:32:56 PM,13,0.11,0.24,
8,73,10/17/2014 9:35:49 PM,Dark,10/17/2014 9:35:26 PM,10/17/2014 9:35:39 PM,13,-0.25,0.00,
8,74,10/17/2014 9:37:18 PM,Dark,10/17/2014 9:37:02 PM,10/17/2014 9:37:07 PM,5,0.08,0.08,
8,75,10/17/2014 9:39:35 PM,Dark,10/17/2014 9:39:18 PM,10/17/2014 9:39:24 PM,6,0.12,0.20,
8,76,10/17/2014 9:41:16 PM,Dark,10/17/2014 9:40:37 PM,10/17/2014 9:41:05 PM,28,-0.07,0.14,
8,77,10/17/2014 9:48:30 PM,Dark,10/17/2014 9:47:55 PM,10/17/2014 9:48:19 PM,24,-0.11,0.02,
9,78,10/17/2014 9:54:07 PM,Dark,10/17/2014 9:48:49 PM,10/17/2014 9:53:56 PM,307,0.20,0.22,
9,79,10/17/2014 9:58:22 PM,Dark,10/17/2014 9:56:37 PM,10/17/2014 9:58:11 PM,94,0.14,0.37,
9,80,10/17/2014 9:59:52 PM,Dark,10/17/2014 9:59:37 PM,10/17/2014 9:59:41 PM,4,-0.07,0.29,
9,81,10/17/2014 10:00:16 PM,Dark,10/17/2014 9:59:58 PM,10/17/2014 10:00:05 PM,7,0.07,0.36,
9,82,10/17/2014 10:01:06 PM,Dark,10/17/2014 10:00:36 PM,10/17/2014 10:00:55 PM,19,0.05,0.41,
9,83,10/17/2014 10:09:10 PM,Dark,10/17/2014 10:08:50 PM,10/17/2014 10:09:00 PM,10,0.27,0.69,
9,84,10/17/2014 10:10:14 PM,Dark,10/17/2014 10:09:40 PM,10/17/2014 10:10:04 PM,24,0.15,0.83,
9,85,10/17/2014 10:11:16 PM,Dark,10/17/2014 10:10:37 PM,10/17/2014 10:11:05 PM,28,0.16,1.00,
9,86,10/17/2014 10:16:17 PM,Dark,10/17/2014 10:15:46 PM,10/17/2014 10:16:06 PM,20,0.04,1.04,
9,87,10/17/2014 10:20:58 PM,Dark,10/17/2014 10:16:42 PM,10/17/2014 10:20:48 PM,246,-0.19,0.85,
9,88,10/17/2014 10:22:07 PM,Dark,10/17/2014 10:21:36 PM,10/17/2014 10:21:56 PM,20,0.23,1.08,
9,89,10/17/2014 10:23:32 PM,Dark,10/17/2014 10:23:12 PM,10/17/2014 10:23:21 PM,9,-0.16,0.92,
10,90,10/17/2014 10:25:15 PM,Dark,10/17/2014 10:24:59 PM,10/17/2014 10:25:05 PM,6,-0.07,0.85,
10,91,10/17/2014 10:33:33 PM,Dark,10/17/2014 10:30:57 PM,10/17/2014 10:33:22 PM,145,-0.06,0.79,
10,92,10/17/2014 10:37:43 PM,Dark,10/17/2014 10:37:21 PM,10/17/2014 10:37:32 PM,11,0.03,0.82,
10,93,10/17/2014 10:39:33 PM,Dark,10/17/2014 10:39:13 PM,10/17/2014 10:39:23 PM,10,0.10,0.93,
10,94,10/17/2014 10:42:27 PM,Dark,10/17/2014 10:42:00 PM,10/17/2014 10:42:16 PM,16,0.19,1.12,
10,95,10/17/2014 10:50:50 PM,Dark,10/17/2014 10:50:25 PM,10/17/2014 10:50:39 PM,14,0.05,1.17,
10,96,10/17/2014 10:51:43 PM,Dark,10/17/2014 10:51:13 PM,10/17/2014 10:51:33 PM,20,0.06,1.22,
10,97,10/17/2014 10:53:58 PM,Dark,10/17/2014 10:52:25 PM,10/17/2014 10:53:47 PM,82,-0.04,1.19,
10,98,10/17/2014 10:54:35 PM,Dark,10/17/2014 10:54:11 PM,10/17/2014 10:54:24 PM,13,0.18,1.36,
10,99,10/17/2014 10:55:49 PM,Dark,10/17/2014 10:54:37 PM,10/17/2014 10:55:38 PM,61,0.04,1.40,
10,100,10/17/2014 10:56:29 PM,Dark,10/17/2014 10:56:14 PM,10/17/2014 10:56:18 PM,4,-0.10,1.31,
11,101,10/17/2014 11:05:23 PM,Dark,10/17/2014 11:05:01 PM,10/17/2014 11:05:12 PM,11,-0.32,0.99,
13,102,10/18/2014 12:20:10 AM,Dark,10/18/2014 12:19:46 AM,10/18/2014 12:19:59 AM,13,-0.03,0.96,
14,103,10/18/2014 12:56:52 AM,Dark,10/18/2014 12:56:29 AM,10/18/2014 12:56:41 AM,12,-0.06,0.90,
14,104,10/18/2014 12:58:12 AM,Dark,10/18/2014 12:57:42 AM,10/18/2014 12:58:01 AM,19,-0.12,0.78,
14,105,10/18/2014 12:59:05 AM,Dark,10/18/2014 12:58:44 AM,10/18/2014 12:58:54 AM,10,0.18,0.96,
14,106,10/18/2014 1:14:26 AM,Dark,10/18/2014 1:13:40 AM,10/18/2014 1:14:16 AM,36,-0.17,0.79,
14,107,10/18/2014 1:14:53 AM,Dark,10/18/2014 1:14:29 AM,10/18/2014 1:14:43 AM,14,-0.23,0.56,
15,108,10/18/2014 1:15:34 AM,Dark,10/18/2014 1:15:00 AM,10/18/2014 1:15:23 AM,23,-0.05,0.52,
15,109,10/18/2014 1:16:40 AM,Dark,10/18/2014 1:15:42 AM,10/18/2014 1:16:30 AM,48,-0.25,0.27,
15,110,10/18/2014 1:33:54 AM,Dark,10/18/2014 1:31:51 AM,10/18/2014 1:33:43 AM,112,0.08,0.35,
15,111,10/18/2014 1:45:50 AM,Dark,10/18/2014 1:45:25 AM,10/18/2014 1:45:39 AM,14,-0.09,0.26,
16,112,10/18/2014 1:51:28 AM,Dark,10/18/2014 1:48:17 AM,10/18/2014 1:51:17 AM,180,-0.21,0.05,
16,113,10/18/2014 2:02:09 AM,Dark,10/18/2014 2:01:32 AM,10/18/2014 2:01:58 AM,26,-0.04,0.01,
16,114,10/18/2014 2:12:04 AM,Dark,10/18/2014 2:11:50 AM,10/18/2014 2:11:54 AM,4,0.13,0.14,
16,115,10/18/2014 2:15:12 AM,Dark,10/18/2014 2:14:46 AM,10/18/2014 2:15:01 AM,15,-0.08,0.07,
16,116,10/18/2014 2:18:49 AM,Dark,10/18/2014 2:18:30 AM,10/18/2014 2:18:39 AM,9,0.08,0.15,
16,117,10/18/2014 2:22:01 AM,Dark,10/18/2014 2:21:39 AM,10/18/2014 2:21:50 AM,11,-0.09,0.06,
17,118,10/18/2014 2:23:07 AM,Dark,10/18/2014 2:22:48 AM,10/18/2014 2:22:56 AM,8,-0.12,-0.06,
17,119,10/18/2014 2:33:07 AM,Dark,10/18/2014 2:32:52 AM,10/18/2014 2:32:57 AM,5,0.12,0.05,
17,120,10/18/2014 2:33:52 AM,Dark,10/18/2014 2:33:26 AM,10/18/2014 2:33:41 AM,15,0.19,0.24,
17,121,10/18/2014 2:45:26 AM,Dark,10/18/2014 2:45:08 AM,10/18/2014 2:45:15 AM,7,-0.08,0.16,
17,122,10/18/2014 2:46:13 AM,Dark,10/18/2014 2:45:58 AM,10/18/2014 2:46:02 AM,4,0.11,0.28,
17,123,10/18/2014 2:53:28 AM,Dark,10/18/2014 2:50:12 AM,10/18/2014 2:53:18 AM,186,0.18,0.45,
17,124,10/18/2014 2:54:54 AM,Dark,10/18/2014 2:53:30 AM,10/18/2014 2:54:43 AM,73,0.44,0.89,
17,125,10/18/2014 2:56:32 AM,Dark,10/18/2014 2:56:10 AM,10/18/2014 2:56:21 AM,11,0.04,0.94,
18,126,10/18/2014 2:58:49 AM,Dark,10/18/2014 2:58:17 AM,10/18/2014 2:58:39 AM,22,0.09,1.03,
18,127,10/18/2014 3:00:40 AM,Dark,10/18/2014 3:00:05 AM,10/18/2014 3:00:29 AM,24,-0.21,0.81,
19,128,10/18/2014 3:37:30 AM,Dark,10/18/2014 3:37:08 AM,10/18/2014 3:37:19 AM,11,0.73,1.54,
19,129,10/18/2014 3:44:36 AM,Dark,10/18/2014 3:43:05 AM,10/18/2014 3:44:25 AM,80,0.29,1.83,
19,130,10/18/2014 3:46:52 AM,Dark,10/18/2014 3:45:14 AM,10/18/2014 3:46:41 AM,87,0.50,2.34,
19,131,10/18/2014 3:51:38 AM,Dark,10/18/2014 3:51:21 AM,10/18/2014 3:51:28 AM,7,-0.49,1.85,
19,132,10/18/2014 3:55:05 AM,Dark,10/18/2014 3:52:10 AM,10/18/2014 3:54:55 AM,165,-0.09,1.76,
20,133,10/18/2014 4:12:33 AM,Dark,10/18/2014 4:11:17 AM,10/18/2014 4:12:23 AM,66,0.17,1.92,
20,134,10/18/2014 4:29:05 AM,Dark,10/18/2014 4:28:11 AM,10/18/2014 4:28:54 AM,43,0.09,2.01,
20,135,10/18/2014 4:30:07 AM,Dark,10/18/2014 4:29:19 AM,10/18/2014 4:29:57 AM,38,0.46,2.47,
21,136,10/18/2014 4:47:27 AM,Dark,10/18/2014 4:45:23 AM,10/18/2014 4:47:17 AM,114,0.04,2.51,
21,137,10/18/2014 4:58:36 AM,Dark,10/18/2014 4:58:21 AM,10/18/2014 4:58:25 AM,4,-0.05,2.46,
21,138,10/18/2014 5:00:30 AM,Dark,10/18/2014 4:59:43 AM,10/18/2014 5:00:19 AM,36,0.55,3.02,
21,139,10/18/2014 5:03:03 AM,Dark,10/18/2014 5:00:59 AM,10/18/2014 5:02:53 AM,114,-0.45,2.57,
21,140,10/18/2014 5:04:12 AM,Dark,10/18/2014 5:03:58 AM,10/18/2014 5:04:01 AM,3,-0.07,2.50,
22,141,10/18/2014 5:22:01 AM,Dark,10/18/2014 5:21:04 AM,10/18/2014 5:21:51 AM,47,0.07,2.58,
22,142,10/18/2014 5:37:59 AM,Dark,10/18/2014 5:37:19 AM,10/18/2014 5:37:48 AM,29,-0.17,2.41,
22,143,10/18/2014 5:39:29 AM,Dark,10/18/2014 5:38:02 AM,10/18/2014 5:39:18 AM,76,0.04,2.45,
23,144,10/18/2014 6:03:32 AM,Dark,10/18/2014 6:03:00 AM,10/18/2014 6:03:21 AM,21,-0.11,2.33,
23,145,10/18/2014 6:08:01 AM,Dark,10/18/2014 6:07:20 AM,10/18/2014 6:07:50 AM,30,0.29,2.62,
23,146,10/18/2014 6:08:38 AM,Dark,10/18/2014 6:08:22 AM,10/18/2014 6:08:28 AM,6,-0.03,2.59,
