Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/17/2014 5:24:42 PM,Light,10/17/2014 5:24:25 PM,10/17/2014 5:24:32 PM,7,0.27,0.27,
1,2,10/17/2014 5:25:07 PM,Light,10/17/2014 5:24:51 PM,10/17/2014 5:24:57 PM,6,-0.05,0.23,
1,3,10/17/2014 5:26:55 PM,Light,10/17/2014 5:26:42 PM,10/17/2014 5:26:45 PM,3,0.03,0.26,
1,4,10/17/2014 5:27:29 PM,Light,10/17/2014 5:27:17 PM,10/17/2014 5:27:19 PM,2,-0.15,0.12,
1,5,10/17/2014 5:28:57 PM,Light,10/17/2014 5:27:55 PM,10/17/2014 5:28:46 PM,51,0.10,0.22,
1,6,10/17/2014 5:45:40 PM,Light,10/17/2014 5:45:27 PM,10/17/2014 5:45:29 PM,2,0.03,0.25,
2,7,10/17/2014 6:09:10 PM,Light,10/17/2014 6:08:24 PM,10/17/2014 6:08:59 PM,35,-0.05,0.20,
2,8,10/17/2014 6:10:30 PM,Light,10/17/2014 6:09:51 PM,10/17/2014 6:10:19 PM,28,0.08,0.28,
2,9,10/17/2014 6:14:34 PM,Light,10/17/2014 6:11:46 PM,10/17/2014 6:14:24 PM,158,0.05,0.33,
2,10,10/17/2014 6:15:55 PM,Light,10/17/2014 6:14:56 PM,10/17/2014 6:15:44 PM,48,0.13,0.46,
2,11,10/17/2014 6:18:05 PM,Light,10/17/2014 6:17:49 PM,10/17/2014 6:17:54 PM,5,0.06,0.52,
2,12,10/17/2014 6:21:07 PM,Light,10/17/2014 6:20:12 PM,10/17/2014 6:20:57 PM,45,-0.13,0.39,
2,13,10/17/2014 6:21:48 PM,Light,10/17/2014 6:21:32 PM,10/17/2014 6:21:38 PM,6,0.09,0.48,
2,14,10/17/2014 6:23:07 PM,Light,10/17/2014 6:22:41 PM,10/17/2014 6:22:56 PM,15,-0.09,0.39,
2,15,10/17/2014 6:24:03 PM,Light,10/17/2014 6:23:49 PM,10/17/2014 6:23:53 PM,4,0.03,0.42,
3,16,10/17/2014 6:28:28 PM,Light,10/17/2014 6:24:47 PM,10/17/2014 6:28:17 PM,210,0.05,0.48,
3,17,10/17/2014 6:29:07 PM,Light,10/17/2014 6:28:52 PM,10/17/2014 6:28:57 PM,5,0.08,0.56,
3,18,10/17/2014 6:29:27 PM,Light,10/17/2014 6:29:11 PM,10/17/2014 6:29:17 PM,6,-0.07,0.49,
3,19,10/17/2014 6:38:44 PM,Light,10/17/2014 6:36:32 PM,10/17/2014 6:38:33 PM,121,-0.08,0.41,
3,20,10/17/2014 6:39:11 PM,Light,10/17/2014 6:38:57 PM,10/17/2014 6:39:00 PM,3,0.14,0.55,
3,21,10/17/2014 6:39:43 PM,Light,10/17/2014 6:39:25 PM,10/17/2014 6:39:33 PM,8,0.09,0.64,
3,22,10/17/2014 6:40:35 PM,Light,10/17/2014 6:40:22 PM,10/17/2014 6:40:25 PM,3,-0.04,0.60,
3,23,10/17/2014 6:41:06 PM,Light,10/17/2014 6:40:36 PM,10/17/2014 6:40:56 PM,20,-0.13,0.47,
3,24,10/17/2014 6:48:15 PM,Light,10/17/2014 6:47:54 PM,10/17/2014 6:48:04 PM,10,0.06,0.52,
3,25,10/17/2014 6:48:58 PM,Light,10/17/2014 6:48:42 PM,10/17/2014 6:48:48 PM,6,0.03,0.56,
4,26,10/17/2014 7:03:28 PM,Dark,10/17/2014 7:00:05 PM,10/17/2014 7:03:17 PM,192,0.13,0.69,
4,27,10/17/2014 7:05:42 PM,Dark,10/17/2014 7:05:29 PM,10/17/2014 7:05:31 PM,2,-0.03,0.66,
4,28,10/17/2014 7:06:16 PM,Dark,10/17/2014 7:06:02 PM,10/17/2014 7:06:05 PM,3,0.10,0.76,
4,29,10/17/2014 7:10:04 PM,Dark,10/17/2014 7:09:07 PM,10/17/2014 7:09:54 PM,47,-0.05,0.71,
4,30,10/17/2014 7:21:39 PM,Dark,10/17/2014 7:21:25 PM,10/17/2014 7:21:29 PM,4,0.06,0.78,
4,31,10/17/2014 7:27:53 PM,Dark,10/17/2014 7:27:29 PM,10/17/2014 7:27:42 PM,13,0.18,0.96,
4,32,10/17/2014 7:28:25 PM,Dark,10/17/2014 7:28:10 PM,10/17/2014 7:28:14 PM,4,-0.07,0.88,
4,33,10/17/2014 7:29:37 PM,Dark,10/17/2014 7:29:12 PM,10/17/2014 7:29:26 PM,14,-0.12,0.76,
4,34,10/17/2014 7:33:37 PM,Dark,10/17/2014 7:29:53 PM,10/17/2014 7:33:27 PM,214,0.14,0.90,
5,35,10/17/2014 7:39:11 PM,Dark,10/17/2014 7:38:56 PM,10/17/2014 7:39:00 PM,4,0.17,1.07,
