Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
3,1,10/17/2014 6:41:53 PM,Light,10/17/2014 5:23:33 PM,10/17/2014 6:41:42 PM,4689,0.07,0.07,
3,2,10/17/2014 6:43:44 PM,Light,10/17/2014 6:42:02 PM,10/17/2014 6:43:34 PM,92,-0.20,-0.12,
3,3,10/17/2014 7:00:01 PM,Light,10/17/2014 6:43:47 PM,10/17/2014 6:59:50 PM,963,0.16,0.04,
3,4,10/17/2014 7:00:50 PM,Light,10/17/2014 7:00:04 PM,10/17/2014 7:00:39 PM,35,-0.09,-0.06,
4,5,10/17/2014 7:19:23 PM,Dark,10/17/2014 7:17:47 PM,10/17/2014 7:19:13 PM,86,-0.20,-0.26,
4,6,10/17/2014 7:19:56 PM,Dark,10/17/2014 7:19:42 PM,10/17/2014 7:19:45 PM,3,0.06,-0.20,
5,7,10/17/2014 7:53:45 PM,Dark,10/17/2014 7:19:58 PM,10/17/2014 7:53:35 PM,2017,0.17,-0.03,
6,8,10/17/2014 8:12:49 PM,Dark,10/17/2014 7:53:47 PM,10/17/2014 8:12:38 PM,1131,-0.09,-0.12,
6,9,10/17/2014 8:13:04 PM,Dark,10/17/2014 8:12:50 PM,10/17/2014 8:12:53 PM,3,-0.16,-0.28,
6,10,10/17/2014 8:32:32 PM,Dark,10/17/2014 8:13:05 PM,10/17/2014 8:32:21 PM,1156,0.26,-0.01,
7,11,10/17/2014 8:47:54 PM,Dark,10/17/2014 8:32:33 PM,10/17/2014 8:47:44 PM,911,0.11,0.10,
7,12,10/17/2014 8:48:31 PM,Dark,10/17/2014 8:47:55 PM,10/17/2014 8:48:21 PM,26,0.28,0.37,
7,13,10/17/2014 9:07:38 PM,Dark,10/17/2014 8:50:02 PM,10/17/2014 9:07:28 PM,1046,-0.22,0.16,
9,14,10/17/2014 10:17:26 PM,Dark,10/17/2014 9:25:42 PM,10/17/2014 10:17:14 PM,3092,0.17,0.33,
9,15,10/17/2014 10:17:57 PM,Dark,10/17/2014 10:17:27 PM,10/17/2014 10:17:46 PM,19,-0.21,0.12,
9,16,10/17/2014 10:18:46 PM,Dark,10/17/2014 10:17:58 PM,10/17/2014 10:18:35 PM,37,0.11,0.23,
10,17,10/17/2014 10:52:11 PM,Dark,10/17/2014 10:18:50 PM,10/17/2014 10:52:01 PM,1991,0.24,0.47,
10,18,10/17/2014 10:53:16 PM,Dark,10/17/2014 10:52:21 PM,10/17/2014 10:53:06 PM,45,0.12,0.59,
10,19,10/17/2014 10:53:49 PM,Dark,10/17/2014 10:53:17 PM,10/17/2014 10:53:38 PM,21,-0.21,0.38,
11,20,10/17/2014 11:29:33 PM,Dark,10/17/2014 10:53:50 PM,10/17/2014 11:29:23 PM,2133,0.20,0.58,
12,21,10/17/2014 11:47:25 PM,Dark,10/17/2014 11:29:35 PM,10/17/2014 11:47:14 PM,1059,-0.06,0.52,
12,22,10/18/2014 12:05:15 AM,Dark,10/17/2014 11:47:27 PM,10/18/2014 12:05:04 AM,1057,0.33,0.84,
13,23,10/18/2014 12:38:56 AM,Dark,10/18/2014 12:05:17 AM,10/18/2014 12:38:45 AM,2008,0.06,0.90,
14,24,10/18/2014 12:58:20 AM,Dark,10/18/2014 12:39:50 AM,10/18/2014 12:58:09 AM,1099,-0.32,0.58,
15,25,10/18/2014 1:15:13 AM,Dark,10/18/2014 12:59:52 AM,10/18/2014 1:15:02 AM,910,0.25,0.83,
16,26,10/18/2014 2:06:36 AM,Dark,10/18/2014 1:15:22 AM,10/18/2014 2:06:26 AM,3064,0.18,1.01,
18,27,10/18/2014 3:01:44 AM,Dark,10/18/2014 2:06:37 AM,10/18/2014 3:01:33 AM,3296,-0.45,0.56,
25,28,10/18/2014 7:09:15 AM,Dark,10/18/2014 3:01:46 AM,10/18/2014 7:09:04 AM,14838,0.60,1.17,
29,29,10/18/2014 9:22:15 AM,Light,10/18/2014 8:33:43 AM,10/18/2014 9:22:04 AM,2901,0.16,1.33,
31,30,10/18/2014 10:22:54 AM,Light,10/18/2014 9:22:17 AM,10/18/2014 10:22:43 AM,3626,-0.34,0.99,
40,31,10/18/2014 3:42:24 PM,Light,10/18/2014 10:22:55 AM,10/18/2014 3:42:13 PM,19158,0.29,1.28,
45,32,10/18/2014 6:47:17 PM,Light,10/18/2014 3:42:33 PM,10/18/2014 6:47:06 PM,11073,0.06,1.33,
49,33,10/18/2014 9:04:56 PM,Dark,10/18/2014 6:47:17 PM,10/18/2014 9:04:46 PM,8249,0.67,2.01,
57,34,10/19/2014 1:04:28 AM,Dark,10/18/2014 9:04:58 PM,10/19/2014 1:04:17 AM,14359,0.31,2.31,
58,35,10/19/2014 1:57:55 AM,Dark,10/19/2014 1:04:29 AM,10/19/2014 1:57:45 AM,3196,0.05,2.37,
64,36,10/19/2014 5:05:38 AM,Dark,10/19/2014 1:57:57 AM,10/19/2014 5:05:27 AM,11250,0.50,2.87,
75,37,10/19/2014 11:22:29 AM,Light,10/19/2014 5:05:40 AM,10/19/2014 11:22:19 AM,22599,0.07,2.93,
75,38,10/19/2014 11:45:32 AM,Light,10/19/2014 11:22:30 AM,10/19/2014 11:45:21 AM,1371,-0.18,2.75,
86,39,10/19/2014 5:50:00 PM,Light,10/19/2014 5:15:31 PM,10/19/2014 5:49:49 PM,2058,0.17,2.92,
90,40,10/19/2014 8:11:28 PM,Dark,10/19/2014 5:50:02 PM,10/19/2014 8:11:17 PM,8475,0.98,3.90,
90,41,10/19/2014 8:12:25 PM,Dark,10/19/2014 8:11:37 PM,10/19/2014 8:12:14 PM,37,-0.09,3.81,
95,42,10/19/2014 10:35:18 PM,Dark,10/19/2014 8:12:26 PM,10/19/2014 10:35:07 PM,8561,1.12,4.94,
98,43,10/20/2014 12:36:53 AM,Dark,10/19/2014 10:35:19 PM,10/20/2014 12:36:43 AM,7284,-0.08,4.85,
98,44,10/20/2014 12:38:06 AM,Dark,10/20/2014 12:36:54 AM,10/20/2014 12:37:56 AM,62,-0.06,4.79,
102,45,10/20/2014 2:56:50 AM,Dark,10/20/2014 12:53:57 AM,10/20/2014 2:56:39 AM,7362,0.46,5.25,
102,46,10/20/2014 2:58:21 AM,Dark,10/20/2014 2:57:05 AM,10/20/2014 2:58:10 AM,65,0.08,5.33,
105,47,10/20/2014 4:23:42 AM,Dark,10/20/2014 2:58:21 AM,10/20/2014 4:23:31 AM,5110,-0.11,5.22,
108,48,10/20/2014 6:19:04 AM,Dark,10/20/2014 4:23:43 AM,10/20/2014 6:18:54 AM,6911,0.68,5.90,
109,49,10/20/2014 6:31:24 AM,Dark,10/20/2014 6:19:06 AM,10/20/2014 6:31:13 AM,727,-0.13,5.77,
109,50,10/20/2014 6:43:54 AM,Dark,10/20/2014 6:31:25 AM,10/20/2014 6:43:42 AM,737,0.07,5.84,
110,51,10/20/2014 7:19:16 AM,Light,10/20/2014 6:43:54 AM,10/20/2014 7:19:06 AM,2112,-0.15,5.68,
110,52,10/20/2014 7:21:36 AM,Light,10/20/2014 7:19:26 AM,10/20/2014 7:21:25 AM,119,-0.15,5.54,
111,53,10/20/2014 7:43:32 AM,Light,10/20/2014 7:21:36 AM,10/20/2014 7:43:21 AM,1305,-0.08,5.46,
111,54,10/20/2014 7:44:02 AM,Light,10/20/2014 7:43:47 AM,10/20/2014 7:43:51 AM,4,-0.22,5.24,
111,55,10/20/2014 8:06:37 AM,Light,10/20/2014 7:44:02 AM,10/20/2014 8:06:26 AM,1344,0.15,5.39,
112,56,10/20/2014 8:19:38 AM,Light,10/20/2014 8:06:44 AM,10/20/2014 8:19:27 AM,763,0.04,5.43,
112,57,10/20/2014 8:30:03 AM,Light,10/20/2014 8:19:38 AM,10/20/2014 8:29:52 AM,614,0.06,5.48,
112,58,10/20/2014 8:42:23 AM,Light,10/20/2014 8:30:04 AM,10/20/2014 8:42:12 AM,728,-0.08,5.40,
113,59,10/20/2014 8:56:27 AM,Light,10/20/2014 8:42:24 AM,10/20/2014 8:56:17 AM,833,0.22,5.63,
