Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/17/2014 5:22:13 PM,Light,10/17/2014 5:21:25 PM,10/17/2014 5:22:02 PM,37,0.14,0.14,
1,2,10/17/2014 5:23:43 PM,Light,10/17/2014 5:23:21 PM,10/17/2014 5:23:33 PM,12,0.04,0.18,
1,3,10/17/2014 5:24:40 PM,Light,10/17/2014 5:24:04 PM,10/17/2014 5:24:30 PM,26,-0.08,0.10,
1,4,10/17/2014 5:25:14 PM,Light,10/17/2014 5:24:50 PM,10/17/2014 5:25:04 PM,14,0.05,0.15,
1,5,10/17/2014 5:25:41 PM,Light,10/17/2014 5:25:29 PM,10/17/2014 5:25:31 PM,2,0.34,0.49,
1,6,10/17/2014 5:27:08 PM,Light,10/17/2014 5:26:42 PM,10/17/2014 5:26:57 PM,15,0.05,0.53,
1,7,10/17/2014 5:28:27 PM,Light,10/17/2014 5:28:10 PM,10/17/2014 5:28:16 PM,6,0.07,0.61,
2,8,10/17/2014 6:00:08 PM,Light,10/17/2014 5:59:18 PM,10/17/2014 5:59:57 PM,39,0.17,0.78,
2,9,10/17/2014 6:07:46 PM,Light,10/17/2014 6:07:00 PM,10/17/2014 6:07:35 PM,35,0.03,0.81,
2,10,10/17/2014 6:25:08 PM,Light,10/17/2014 6:24:32 PM,10/17/2014 6:24:57 PM,25,0.04,0.85,
2,11,10/17/2014 6:26:17 PM,Light,10/17/2014 6:25:42 PM,10/17/2014 6:26:07 PM,25,0.07,0.92,
3,12,10/17/2014 6:42:47 PM,Light,10/17/2014 6:40:20 PM,10/17/2014 6:42:36 PM,136,0.12,1.05,
3,13,10/17/2014 6:44:24 PM,Light,10/17/2014 6:43:15 PM,10/17/2014 6:44:14 PM,59,0.10,1.15,
3,14,10/17/2014 6:49:07 PM,Light,10/17/2014 6:48:49 PM,10/17/2014 6:48:56 PM,7,-0.04,1.11,
3,15,10/17/2014 6:50:36 PM,Light,10/17/2014 6:50:16 PM,10/17/2014 6:50:25 PM,9,-0.04,1.07,
3,16,10/17/2014 6:55:07 PM,Light,10/17/2014 6:54:24 PM,10/17/2014 6:54:56 PM,32,-0.08,1.00,
4,17,10/17/2014 7:02:20 PM,Dark,10/17/2014 6:59:59 PM,10/17/2014 7:02:09 PM,130,0.05,1.04,
4,18,10/17/2014 7:03:42 PM,Dark,10/17/2014 7:03:17 PM,10/17/2014 7:03:32 PM,15,-0.05,0.99,
4,19,10/17/2014 7:10:10 PM,Dark,10/17/2014 7:09:53 PM,10/17/2014 7:09:59 PM,6,0.04,1.04,
4,20,10/17/2014 7:15:54 PM,Dark,10/17/2014 7:15:21 PM,10/17/2014 7:15:43 PM,22,0.06,1.09,
4,21,10/17/2014 7:33:13 PM,Dark,10/17/2014 7:32:51 PM,10/17/2014 7:33:03 PM,12,0.08,1.17,
5,22,10/17/2014 7:35:07 PM,Dark,10/17/2014 7:34:39 PM,10/17/2014 7:34:56 PM,17,0.03,1.20,
5,23,10/17/2014 7:36:07 PM,Dark,10/17/2014 7:35:28 PM,10/17/2014 7:35:57 PM,29,0.04,1.24,
5,24,10/17/2014 7:38:39 PM,Dark,10/17/2014 7:36:15 PM,10/17/2014 7:38:28 PM,133,0.27,1.51,
5,25,10/17/2014 7:40:54 PM,Dark,10/17/2014 7:40:26 PM,10/17/2014 7:40:44 PM,18,0.13,1.64,
5,26,10/17/2014 7:46:38 PM,Dark,10/17/2014 7:46:24 PM,10/17/2014 7:46:27 PM,3,0.08,1.72,
5,27,10/17/2014 7:51:56 PM,Dark,10/17/2014 7:50:01 PM,10/17/2014 7:51:45 PM,104,0.15,1.87,
5,28,10/17/2014 7:56:02 PM,Dark,10/17/2014 7:52:14 PM,10/17/2014 7:55:51 PM,217,0.08,1.95,
5,29,10/17/2014 8:05:26 PM,Dark,10/17/2014 8:04:48 PM,10/17/2014 8:05:15 PM,27,-0.03,1.92,
5,30,10/17/2014 8:09:00 PM,Dark,10/17/2014 8:08:45 PM,10/17/2014 8:08:50 PM,5,0.15,2.07,
6,31,10/17/2014 8:16:43 PM,Dark,10/17/2014 8:15:49 PM,10/17/2014 8:16:33 PM,44,0.09,2.15,
6,32,10/17/2014 8:18:57 PM,Dark,10/17/2014 8:17:05 PM,10/17/2014 8:18:46 PM,101,0.06,2.22,
6,33,10/17/2014 8:20:12 PM,Dark,10/17/2014 8:18:59 PM,10/17/2014 8:20:02 PM,63,0.13,2.35,
6,34,10/17/2014 8:28:06 PM,Dark,10/17/2014 8:27:39 PM,10/17/2014 8:27:55 PM,16,-0.04,2.31,
6,35,10/17/2014 8:29:53 PM,Dark,10/17/2014 8:29:36 PM,10/17/2014 8:29:42 PM,6,-0.03,2.28,
6,36,10/17/2014 8:38:35 PM,Dark,10/17/2014 8:37:44 PM,10/17/2014 8:38:24 PM,40,0.05,2.33,
6,37,10/17/2014 8:42:25 PM,Dark,10/17/2014 8:39:36 PM,10/17/2014 8:42:14 PM,158,0.28,2.61,
7,38,10/17/2014 8:44:10 PM,Dark,10/17/2014 8:43:04 PM,10/17/2014 8:43:59 PM,55,0.06,2.67,
7,39,10/17/2014 8:45:01 PM,Dark,10/17/2014 8:44:10 PM,10/17/2014 8:44:50 PM,40,-0.09,2.58,
