Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
2,1,10/17/2014 6:14:51 PM,Light,10/17/2014 6:14:25 PM,10/17/2014 6:14:41 PM,16,-0.63,-0.63,
2,2,10/17/2014 6:18:15 PM,Light,10/17/2014 6:17:48 PM,10/17/2014 6:18:05 PM,17,-0.31,-0.94,
3,3,10/17/2014 6:28:48 PM,Dark,10/17/2014 6:28:32 PM,10/17/2014 6:28:38 PM,6,0.90,-0.04,
3,4,10/17/2014 6:35:58 PM,Dark,10/17/2014 6:35:38 PM,10/17/2014 6:35:47 PM,9,0.07,0.02,
3,5,10/17/2014 6:39:15 PM,Dark,10/17/2014 6:39:00 PM,10/17/2014 6:39:04 PM,4,-0.89,-0.87,
3,6,10/17/2014 6:40:57 PM,Dark,10/17/2014 6:40:37 PM,10/17/2014 6:40:46 PM,9,0.85,-0.02,
3,7,10/17/2014 6:48:43 PM,Dark,10/17/2014 6:48:17 PM,10/17/2014 6:48:33 PM,16,-0.16,-0.18,
3,8,10/17/2014 7:00:43 PM,Dark,10/17/2014 7:00:26 PM,10/17/2014 7:00:32 PM,6,1.53,1.34,
4,9,10/17/2014 7:22:35 PM,Dark,10/17/2014 7:22:08 PM,10/17/2014 7:22:24 PM,16,0.58,1.92,
5,10,10/17/2014 7:35:30 PM,Dark,10/17/2014 7:35:12 PM,10/17/2014 7:35:19 PM,7,0.47,2.39,
5,11,10/17/2014 7:37:02 PM,Dark,10/17/2014 7:35:59 PM,10/17/2014 7:36:50 PM,51,-1.07,1.33,
5,12,10/17/2014 7:38:01 PM,Dark,10/17/2014 7:37:20 PM,10/17/2014 7:37:50 PM,30,0.73,2.05,
5,13,10/17/2014 7:53:28 PM,Dark,10/17/2014 7:52:26 PM,10/17/2014 7:53:18 PM,52,-0.42,1.63,
5,14,10/17/2014 7:56:45 PM,Dark,10/17/2014 7:56:15 PM,10/17/2014 7:56:34 PM,19,-0.48,1.16,
5,15,10/17/2014 7:57:07 PM,Dark,10/17/2014 7:56:48 PM,10/17/2014 7:56:57 PM,9,-0.07,1.08,
5,16,10/17/2014 7:58:59 PM,Dark,10/17/2014 7:58:40 PM,10/17/2014 7:58:49 PM,9,-0.82,0.26,
5,17,10/17/2014 8:02:20 PM,Dark,10/17/2014 8:02:06 PM,10/17/2014 8:02:10 PM,4,1.19,1.45,
5,18,10/17/2014 8:08:03 PM,Dark,10/17/2014 8:07:49 PM,10/17/2014 8:07:53 PM,4,0.68,2.13,
6,19,10/17/2014 8:42:48 PM,Dark,10/17/2014 8:41:32 PM,10/17/2014 8:42:37 PM,65,-1.77,0.36,
7,20,10/17/2014 9:08:10 PM,Dark,10/17/2014 9:07:48 PM,10/17/2014 9:07:59 PM,11,-0.34,0.02,
8,21,10/17/2014 9:23:54 PM,Dark,10/17/2014 9:22:16 PM,10/17/2014 9:23:43 PM,87,-0.31,-0.29,
8,22,10/17/2014 9:29:01 PM,Dark,10/17/2014 9:28:18 PM,10/17/2014 9:28:50 PM,32,0.73,0.44,
8,23,10/17/2014 9:29:44 PM,Dark,10/17/2014 9:29:10 PM,10/17/2014 9:29:34 PM,24,-3.61,-3.18,
8,24,10/17/2014 9:40:36 PM,Dark,10/17/2014 9:40:04 PM,10/17/2014 9:40:25 PM,21,-3.71,-6.88,
8,25,10/17/2014 9:48:04 PM,Dark,10/17/2014 9:47:48 PM,10/17/2014 9:47:54 PM,6,0.85,-6.04,
8,26,10/17/2014 9:48:37 PM,Dark,10/17/2014 9:48:20 PM,10/17/2014 9:48:26 PM,6,-1.07,-7.11,
9,27,10/17/2014 10:04:35 PM,Dark,10/17/2014 10:03:42 PM,10/17/2014 10:04:25 PM,43,-3.23,-10.34,
9,28,10/17/2014 10:05:41 PM,Dark,10/17/2014 10:04:50 PM,10/17/2014 10:05:30 PM,40,7.97,-2.37,
9,29,10/17/2014 10:06:39 PM,Dark,10/17/2014 10:06:18 PM,10/17/2014 10:06:28 PM,10,-0.27,-2.63,
9,30,10/17/2014 10:10:04 PM,Dark,10/17/2014 10:09:24 PM,10/17/2014 10:09:54 PM,30,-7.32,-9.95,
9,31,10/17/2014 10:11:21 PM,Dark,10/17/2014 10:10:51 PM,10/17/2014 10:11:10 PM,19,0.82,-9.14,
9,32,10/17/2014 10:11:48 PM,Dark,10/17/2014 10:11:31 PM,10/17/2014 10:11:37 PM,6,-1.82,-10.96,
13,33,10/18/2014 12:27:05 AM,Dark,10/18/2014 12:26:47 AM,10/18/2014 12:26:54 AM,7,0.73,-10.24,
13,34,10/18/2014 12:28:26 AM,Dark,10/18/2014 12:27:27 AM,10/18/2014 12:28:15 AM,48,0.28,-9.96,
13,35,10/18/2014 12:30:35 AM,Dark,10/18/2014 12:28:33 AM,10/18/2014 12:30:24 AM,111,1.28,-8.68,
13,36,10/18/2014 12:32:48 AM,Dark,10/18/2014 12:32:22 AM,10/18/2014 12:32:38 AM,16,0.62,-8.05,
14,37,10/18/2014 1:01:27 AM,Dark,10/18/2014 1:01:00 AM,10/18/2014 1:01:16 AM,16,0.91,-7.14,
14,38,10/18/2014 1:02:28 AM,Dark,10/18/2014 1:01:53 AM,10/18/2014 1:02:17 AM,24,0.18,-6.97,
15,39,10/18/2014 1:22:12 AM,Dark,10/18/2014 1:21:46 AM,10/18/2014 1:22:01 AM,15,1.72,-5.25,
15,40,10/18/2014 1:23:06 AM,Dark,10/18/2014 1:22:14 AM,10/18/2014 1:22:56 AM,42,-0.21,-5.46,
15,41,10/18/2014 1:23:33 AM,Dark,10/18/2014 1:23:07 AM,10/18/2014 1:23:23 AM,16,-1.41,-6.87,
15,42,10/18/2014 1:24:37 AM,Dark,10/18/2014 1:24:11 AM,10/18/2014 1:24:27 AM,16,0.05,-6.81,
16,43,10/18/2014 2:02:55 AM,Dark,10/18/2014 2:02:00 AM,10/18/2014 2:02:44 AM,44,-1.38,-8.20,
25,44,10/18/2014 7:13:15 AM,Light,10/18/2014 7:12:13 AM,10/18/2014 7:13:05 AM,52,1.30,-6.90,
25,45,10/18/2014 7:14:02 AM,Light,10/18/2014 7:13:43 AM,10/18/2014 7:13:51 AM,8,-5.15,-12.05,
