Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/17/2014 5:23:17 PM,Light,10/17/2014 5:22:18 PM,10/17/2014 5:23:06 PM,48,0.04,0.04,
1,2,10/17/2014 5:27:34 PM,Light,10/17/2014 5:26:24 PM,10/17/2014 5:27:23 PM,59,-0.03,0.01,
1,3,10/17/2014 5:32:47 PM,Light,10/17/2014 5:28:00 PM,10/17/2014 5:32:37 PM,277,-0.06,-0.05,
1,4,10/17/2014 5:35:52 PM,Light,10/17/2014 5:32:49 PM,10/17/2014 5:35:42 PM,173,-0.10,-0.15,
1,5,10/17/2014 5:36:18 PM,Light,10/17/2014 5:36:04 PM,10/17/2014 5:36:08 PM,4,-0.06,-0.21,
1,6,10/17/2014 5:36:53 PM,Light,10/17/2014 5:36:36 PM,10/17/2014 5:36:43 PM,7,-0.06,-0.27,
1,7,10/17/2014 5:39:21 PM,Light,10/17/2014 5:38:08 PM,10/17/2014 5:39:11 PM,63,0.12,-0.15,
1,8,10/17/2014 5:47:04 PM,Light,10/17/2014 5:39:51 PM,10/17/2014 5:46:53 PM,422,-0.10,-0.25,
1,9,10/17/2014 5:52:27 PM,Light,10/17/2014 5:47:10 PM,10/17/2014 5:52:16 PM,306,-0.04,-0.28,
2,10,10/17/2014 5:53:23 PM,Light,10/17/2014 5:52:35 PM,10/17/2014 5:53:12 PM,37,-0.18,-0.46,
2,11,10/17/2014 5:55:39 PM,Light,10/17/2014 5:55:10 PM,10/17/2014 5:55:28 PM,18,0.21,-0.25,
2,12,10/17/2014 5:55:58 PM,Light,10/17/2014 5:55:42 PM,10/17/2014 5:55:47 PM,5,-0.03,-0.28,
2,13,10/17/2014 5:57:31 PM,Light,10/17/2014 5:57:16 PM,10/17/2014 5:57:21 PM,5,-0.04,-0.33,
2,14,10/17/2014 6:04:35 PM,Light,10/17/2014 5:58:06 PM,10/17/2014 6:04:24 PM,378,0.11,-0.22,
2,15,10/17/2014 6:06:41 PM,Light,10/17/2014 6:06:26 PM,10/17/2014 6:06:30 PM,4,0.20,-0.02,
2,16,10/17/2014 6:08:34 PM,Light,10/17/2014 6:07:36 PM,10/17/2014 6:08:24 PM,48,0.19,0.17,
2,17,10/17/2014 6:09:48 PM,Light,10/17/2014 6:09:26 PM,10/17/2014 6:09:37 PM,11,0.21,0.38,
2,18,10/17/2014 6:10:27 PM,Light,10/17/2014 6:10:13 PM,10/17/2014 6:10:17 PM,4,0.03,0.42,
2,19,10/17/2014 6:11:29 PM,Light,10/17/2014 6:11:16 PM,10/17/2014 6:11:18 PM,2,-0.04,0.38,
2,20,10/17/2014 6:14:24 PM,Light,10/17/2014 6:12:09 PM,10/17/2014 6:14:14 PM,125,-0.14,0.24,
2,21,10/17/2014 6:16:13 PM,Light,10/17/2014 6:14:25 PM,10/17/2014 6:16:02 PM,97,-0.10,0.14,
2,22,10/17/2014 6:18:29 PM,Light,10/17/2014 6:16:13 PM,10/17/2014 6:18:19 PM,126,0.27,0.41,
2,23,10/17/2014 6:20:15 PM,Light,10/17/2014 6:18:30 PM,10/17/2014 6:20:04 PM,94,-0.05,0.36,
2,24,10/17/2014 6:26:03 PM,Light,10/17/2014 6:25:24 PM,10/17/2014 6:25:52 PM,28,0.19,0.55,
