Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/17/2014 5:30:20 PM,Light,10/17/2014 5:29:49 PM,10/17/2014 5:30:10 PM,21,0.04,0.04,
1,2,10/17/2014 5:31:16 PM,Light,10/17/2014 5:30:34 PM,10/17/2014 5:31:06 PM,32,0.15,0.19,
1,3,10/17/2014 5:31:50 PM,Light,10/17/2014 5:31:31 PM,10/17/2014 5:31:39 PM,8,-0.13,0.06,
1,4,10/17/2014 5:33:45 PM,Light,10/17/2014 5:33:30 PM,10/17/2014 5:33:35 PM,5,0.09,0.15,
1,5,10/17/2014 5:35:15 PM,Light,10/17/2014 5:34:48 PM,10/17/2014 5:35:04 PM,16,-0.06,0.09,
1,6,10/17/2014 5:41:19 PM,Light,10/17/2014 5:41:03 PM,10/17/2014 5:41:08 PM,5,0.05,0.14,
1,7,10/17/2014 5:41:50 PM,Light,10/17/2014 5:41:36 PM,10/17/2014 5:41:39 PM,3,-0.06,0.08,
1,8,10/17/2014 5:47:25 PM,Light,10/17/2014 5:47:08 PM,10/17/2014 5:47:15 PM,7,0.06,0.13,
1,9,10/17/2014 5:50:57 PM,Light,10/17/2014 5:50:43 PM,10/17/2014 5:50:46 PM,3,0.03,0.16,
2,10,10/17/2014 5:53:22 PM,Light,10/17/2014 5:52:53 PM,10/17/2014 5:53:11 PM,18,-0.07,0.09,
2,11,10/17/2014 6:07:47 PM,Light,10/17/2014 6:07:34 PM,10/17/2014 6:07:36 PM,2,0.11,0.20,
2,12,10/17/2014 6:20:55 PM,Light,10/17/2014 6:20:23 PM,10/17/2014 6:20:45 PM,22,-0.14,0.06,
2,13,10/17/2014 6:23:22 PM,Light,10/17/2014 6:23:01 PM,10/17/2014 6:23:11 PM,10,-0.07,0.00,
2,14,10/17/2014 6:25:05 PM,Light,10/17/2014 6:24:35 PM,10/17/2014 6:24:54 PM,19,0.08,0.08,
3,15,10/17/2014 6:31:27 PM,Dark,10/17/2014 6:30:59 PM,10/17/2014 6:31:16 PM,17,0.09,0.17,
3,16,10/17/2014 6:39:35 PM,Dark,10/17/2014 6:39:06 PM,10/17/2014 6:39:24 PM,18,0.14,0.31,
3,17,10/17/2014 6:43:13 PM,Dark,10/17/2014 6:42:55 PM,10/17/2014 6:43:03 PM,8,0.07,0.38,
3,18,10/17/2014 6:43:46 PM,Dark,10/17/2014 6:43:19 PM,10/17/2014 6:43:35 PM,16,0.11,0.49,
3,19,10/17/2014 6:49:55 PM,Dark,10/17/2014 6:48:19 PM,10/17/2014 6:49:45 PM,86,0.07,0.56,
3,20,10/17/2014 6:52:22 PM,Dark,10/17/2014 6:52:09 PM,10/17/2014 6:52:12 PM,3,-0.03,0.53,
3,21,10/17/2014 6:52:51 PM,Dark,10/17/2014 6:52:30 PM,10/17/2014 6:52:40 PM,10,0.11,0.63,
3,22,10/17/2014 6:59:19 PM,Dark,10/17/2014 6:59:03 PM,10/17/2014 6:59:08 PM,5,-0.11,0.53,
3,23,10/17/2014 7:00:25 PM,Dark,10/17/2014 7:00:11 PM,10/17/2014 7:00:15 PM,4,-0.05,0.48,
4,24,10/17/2014 7:14:10 PM,Dark,10/17/2014 7:13:55 PM,10/17/2014 7:13:59 PM,4,0.05,0.53,
